Item ID	Item value	Change in Kuiper test statistic when item removed
MAGEH1	14.0	-0.010869565217391186
LMAN2L	13.0	-0.010869565217391408
TIGD7	10.0	-0.010869565217391408
C17ORF80	11.0	-0.010869565217391186
LRP4	4.0	0.032608695652173836
SLC16A10	13.0	-0.010869565217391408
PILRB	13.0	-0.010869565217391408
NOL9	12.0	-0.010869565217391186
DTX3	7.0	0.032608695652173836
METTL21A	12.0	-0.010869565217391186
GEM	22.0	0.03260869565217406
NUDT4	4.0	0.032608695652173836
PDRG1	10.0	-0.010869565217391408
DNAJC18	12.0	-0.010869565217391186
ARL17B	16.0	-0.010869565217391186
EPM2AIP1	11.0	-0.010869565217391186
WDCP	11.0	-0.010869565217391186
SALL4	3.0	0.032608695652173836
MGP	20.0	0.03260869565217406
ZNF449	10.0	-0.010869565217391408
ZSCAN26	12.0	-0.010869565217391186
TP53BP1	15.0	-0.010869565217391186
TAF9B	16.0	-0.010869565217391186
DNAL1	15.0	-0.010869565217391186
