Item ID	Item value	Change in Kuiper test statistic when item removed
LIPT1	8.0	-0.01838235294117646
PKDCC	10.0	-0.01838235294117646
TRAF3IP3	-1.0	0.044117647058823595
NFYA	8.0	-0.01838235294117646
LMO4	7.0	-0.01838235294117646
HNRNPLL	6.0	-0.01838235294117646
SNCAIP	-2.0	0.044117647058823595
SLC5A6	9.0	-0.01838235294117646
C5	11.0	0.023284313725490113
CABYR	13.0	0.044117647058823595
TRAF4	6.0	-0.01838235294117646
MAT2A	9.0	-0.01838235294117646
UBE2T	8.0	-0.01838235294117646
MYB	0.0	0.044117647058823595
SFXN2	10.0	-0.01838235294117646
SRSF7	10.0	-0.01838235294117646
EMID1	0.0	0.044117647058823595
