Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	-1.0	-0.0030487804878047697
JPT1	9.0	-0.0030487804878047697
TFRC	3.0	-0.0030487804878047697
MTFP1	3.0	-0.0030487804878047697
AMIGO2	-2.0	-0.0030487804878047697
SLC2A1	-2.0	-0.0030487804878047697
GLRX	9.0	-0.0030487804878047697
BRCA1	12.0	0.013617886178861838
HSPA14	-3.0	-0.0030487804878047697
ENO2	1.0	-0.0030487804878047697
HSPD1	9.0	-0.0030487804878047697
AURKA	5.0	-0.0030487804878047697
MIPOL1	16.0	0.02195121951219514
PSMC3IP	10.0	-0.0030487804878047697
CCNB1	6.0	-0.0030487804878047697
UPP1	3.0	-0.0030487804878047697
PHLDA2	5.0	-0.0030487804878047697
GTSE1	0.0	-0.0030487804878047697
PSPH	10.0	-0.0030487804878047697
FANCI	-2.0	-0.0030487804878047697
GINS2	12.0	0.013617886178861838
BNIP3L	0.0	-0.0030487804878047697
CDKN2B	7.0	-0.0030487804878047697
TNFRSF12A	4.0	-0.0030487804878047697
CCDC14	11.0	-0.0030487804878047697
CYP51A1	14.0	0.02195121951219514
WDR75	-3.0	-0.0030487804878047697
ELOVL6	15.0	0.02195121951219514
CTPS1	8.0	-0.0030487804878047697
TUBG1	6.0	-0.0030487804878047697
SLC39A14	11.0	-0.0030487804878047697
ITCH	-3.0	-0.0030487804878047697
CKS2	7.0	-0.0030487804878047697
NABP1	9.0	-0.0030487804878047697
ROR1	16.0	0.02195121951219514
INTS7	9.0	-0.0030487804878047697
CENPN	0.0	-0.0030487804878047697
KIF2C	4.0	-0.0030487804878047697
MTFR2	19.0	0.02195121951219514
LRIF1	6.0	-0.0030487804878047697
DNAL1	11.0	-0.0030487804878047697
