Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	20.0	0.019886363636363535
LMBR1L	11.0	-9.469696969697794E-4
DOCK4	16.0	-9.469696969698349E-4
CD83	12.0	-0.011363636363636465
TFRC	7.0	0.019886363636363535
C1S	0.0	0.019886363636363535
TNFAIP6	22.0	0.019886363636363535
TRADD	15.0	-0.011363636363636465
QPRT	15.0	-0.011363636363636465
PIGP	14.0	-0.011363636363636465
CXCR4	1.0	0.019886363636363535
CRIP1	6.0	0.019886363636363535
GLS	24.0	0.019886363636363535
LAMP3	6.0	0.019886363636363535
SLAMF8	14.0	-0.011363636363636465
SLAMF7	15.0	-0.011363636363636465
PKNOX1	13.0	-0.011363636363636465
FILIP1L	13.0	-0.011363636363636465
LDLR	14.0	-0.011363636363636465
GABBR1	14.0	-0.011363636363636465
FZD5	4.0	0.019886363636363535
METTL1	13.0	-0.011363636363636465
PDE4DIP	14.0	-0.011363636363636465
DHCR24	16.0	-9.469696969698349E-4
ACSL3	12.0	-0.011363636363636465
TRAF1	15.0	-0.011363636363636465
ELL3	14.0	-0.011363636363636465
NR4A3	10.0	0.019886363636363535
NAT1	11.0	-9.469696969697794E-4
ANOS1	15.0	-0.011363636363636465
ABCG1	4.0	0.019886363636363535
CDS2	2.0	0.019886363636363535
BIRC3	13.0	-0.011363636363636465
