Item ID	Item value	Change in Kuiper test statistic when item removed
ST6GAL1	9.0	0.0072463768115940685
CDKN2B	7.0	0.0072463768115940685
ARG2	10.0	0.0072463768115940685
TGFB1	3.0	0.007246376811594291
KLK1	12.0	0.0072463768115940685
ITGA3	5.0	0.007246376811594291
NR1I3	12.0	0.0072463768115940685
EPHX2	13.0	0.0072463768115940685
PRLR	1.0	-0.0362318840579709
HIC1	9.0	0.0072463768115940685
SEC14L2	-1.0	-0.0362318840579709
RGS2	6.0	0.007246376811594291
BTD	11.0	0.0072463768115940685
AADAC	12.0	0.0072463768115940685
IRF1	3.0	0.007246376811594291
IL2RB	9.0	0.0072463768115940685
ST3GAL4	-3.0	-0.0362318840579709
CASP1	13.0	0.0072463768115940685
GHRL	20.0	0.05072463768115926
UPP1	3.0	0.007246376811594291
DNASE1	7.0	0.0072463768115940685
TCTA	8.0	0.0072463768115940685
CDR2	-3.0	-0.0362318840579709
C1QC	-2.0	-0.0362318840579709
