Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	1.0	-0.010526315789473384
BIVM	24.0	-0.010526315789473273
GINS2	4.0	-0.010526315789473384
OSR2	10.0	0.04210526315789509
STOML1	0.0	-0.010526315789473384
TNFRSF12A	20.0	0.04210526315789509
NSUN5	1.0	-0.010526315789473384
METTL1	1.0	-0.010526315789473384
OGG1	1.0	-0.010526315789473384
CAD	0.0	-0.010526315789473384
ADAT1	23.0	-0.010526315789473273
KNOP1	1.0	-0.010526315789473384
TMEM141	4.0	-0.010526315789473384
TMEM186	23.0	-0.010526315789473273
MFSD13A	4.0	-0.010526315789473384
DPH2	24.0	-0.010526315789473273
TIMELESS	3.0	-0.010526315789473384
GTSE1	16.0	0.04210526315789509
ZSWIM3	23.0	-0.010526315789473273
ZBED3	14.0	0.04210526315789509
