Item ID	Item value	Change in Kuiper test statistic when item removed
SLC24A1	14.0	-0.013793103448275834
ZNF395	2.0	0.02068965517241389
GOSR2	12.0	-0.013793103448275723
FBLN1	21.0	0.02068965517241389
DCAF7	11.0	-0.013793103448275723
SERTAD4	5.0	0.020689655172413945
FLRT2	13.0	-0.013793103448275834
EFCAB2	2.0	0.02068965517241389
RAB24	13.0	-0.013793103448275834
ZNF404	14.0	-0.013793103448275834
TAF9B	16.0	0.02068965517241389
PHLDA2	9.0	0.020689655172413945
C11ORF45	15.0	-0.013793103448275723
C16ORF74	4.0	0.02068965517241389
BNIP3L	4.0	0.02068965517241389
EGR1	8.0	0.020689655172413945
FZD2	1.0	0.02068965517241389
CHKA	13.0	-0.013793103448275834
SLX4IP	13.0	-0.013793103448275834
MCAM	3.0	0.02068965517241389
ACSL3	12.0	-0.013793103448275723
SLC39A14	15.0	-0.013793103448275723
ZNF70	13.0	-0.013793103448275834
FES	12.0	-0.013793103448275723
MYL2	12.0	-0.013793103448275723
CTH	12.0	-0.013793103448275723
ORAI3	6.0	0.020689655172413945
MED20	11.0	-0.013793103448275723
ZNF559	11.0	-0.013793103448275723
SCLY	15.0	-0.013793103448275723
