Item ID	Item value	Change in Kuiper test statistic when item removed
EGR1	4.0	0.025000000000000022
MEGF6	10.0	0.025000000000000022
HSP90AA1	13.0	0.050000000000000044
RASL11B	7.0	-0.016666666666666774
CYP51A1	14.0	0.050000000000000044
FN1	19.0	0.050000000000000044
WDR46	7.0	-0.016666666666666774
SAT1	8.0	-0.016666666666666663
IFFO1	8.0	-0.016666666666666663
KLF2	9.0	-0.016666666666666663
NLE1	9.0	-0.016666666666666663
RGCC	-3.0	0.050000000000000044
CTH	8.0	-0.016666666666666663
PHLDA2	5.0	-0.016666666666666663
JUNB	5.0	-0.016666666666666663
ATF3	8.0	-0.016666666666666663
