Item ID	Item value	Change in Kuiper test statistic when item removed
EGR1	4.0	-0.0029239766081869956
DUSP2	5.0	-0.0029239766081869956
KDM3A	0.0	-0.016812865497075946
ZNF395	-2.0	-0.030701754385964897
TRAF3IP3	-1.0	-0.016812865497075946
RNASE6	11.0	0.03874269005847952
ELOVL6	15.0	0.052631578947368585
HMMR	6.0	-0.0029239766081867735
TNF	7.0	-0.0029239766081869956
RAB33A	5.0	-0.0029239766081869956
KLF2	9.0	-0.0029239766081869956
HK2	-1.0	-0.016812865497075946
AURKA	5.0	-0.0029239766081869956
RGS2	6.0	-0.0029239766081867735
CCNB1	6.0	-0.0029239766081867735
RGCC	-3.0	-0.044590643274853736
SMCO4	9.0	-0.0029239766081869956
LDLR	10.0	0.024853801169590684
PDK1	-1.0	-0.016812865497075946
