Item ID	Item value	Change in Kuiper test statistic when item removed
GAMT	7.0	0.002631578947368207
RRAD	8.0	0.0026315789473684292
FAM169A	-1.0	-0.050000000000000155
APTX	9.0	0.002631578947368207
CLK4	6.0	0.002631578947368207
BBC3	4.0	0.002631578947368207
SOCS2	13.0	0.05526315789473679
CLK1	4.0	0.002631578947368207
CEACAM1	19.0	0.05526315789473679
TP53I3	8.0	0.0026315789473684292
DRAM1	10.0	0.04429824561403506
TRAF4	6.0	0.002631578947368207
PSTPIP2	-2.0	-0.050000000000000155
LAMP3	2.0	-0.02807017543859669
ORAI3	2.0	-0.02807017543859669
MT1F	0.0	-0.050000000000000155
NABP1	9.0	0.002631578947368207
ATF3	8.0	0.0026315789473684292
CCDC90B	8.0	0.0026315789473684292
IER3	4.0	0.002631578947368207
