Item ID	Item value	Change in Kuiper test statistic when item removed
JPT1	9.0	0.00416666666666643
RRM2	7.0	0.00416666666666643
QPRT	11.0	0.00416666666666643
HMMR	6.0	0.00416666666666643
AURKA	5.0	0.00416666666666643
CCNB1	6.0	0.00416666666666643
ITCH	-3.0	-0.06250000000000022
PTTG1	1.0	0.00416666666666643
TIMELESS	11.0	0.00416666666666643
CKS2	7.0	0.00416666666666643
BIRC5	0.0	0.00416666666666643
OIP5	10.0	0.00416666666666643
KIF2C	4.0	0.00416666666666643
CENPN	0.0	0.00416666666666643
GTSE1	0.0	0.00416666666666643
CCT5	6.0	0.00416666666666643
