Item ID	Item value	Change in Kuiper test statistic when item removed
SAMD5	16.0	-0.005341880341880545
TXNL4B	9.0	0.029914529914529697
PPM1L	1.0	0.029914529914529697
CEP19	10.0	-0.008547008547008739
MPI	11.0	-0.008547008547008517
TRMT2A	11.0	-0.008547008547008517
HSD17B7	13.0	-0.008547008547008517
EPM2AIP1	11.0	-0.008547008547008517
SLC25A20	15.0	-0.008547008547008517
CCT5	10.0	-0.008547008547008739
ABT1	22.0	0.029914529914529808
EIF2B4	11.0	-0.008547008547008517
TRMT10B	12.0	-0.008547008547008739
RAB4B	13.0	-0.008547008547008517
UQCC2	17.0	0.029914529914529808
STRBP	16.0	-0.005341880341880545
CYHR1	14.0	-0.008547008547008517
TMEM42	13.0	-0.008547008547008517
ZDHHC16	13.0	-0.008547008547008517
TUBG1	10.0	-0.008547008547008739
RAD23B	2.0	0.029914529914529697
NAGK	13.0	-0.008547008547008517
CDK5	14.0	-0.008547008547008517
C19ORF25	12.0	-0.008547008547008739
NDUFAF3	15.0	-0.008547008547008517
CYSTM1	2.0	0.029914529914529697
C22ORF39	12.0	-0.008547008547008739
