Item ID	Item value	Change in Kuiper test statistic when item removed
SAMD9L	13.0	-0.018382352941176405
ANGPT1	21.0	0.044117647058823595
AUTS2	2.0	0.044117647058823595
SP110	14.0	-0.018382352941176405
CAV1	15.0	-0.018382352941176405
IRX3	15.0	-0.018382352941176405
QPRT	15.0	-0.018382352941176405
RNASE6	15.0	-0.018382352941176405
PLA2G4A	12.0	-0.018382352941176405
ARID5B	12.0	-0.018382352941176405
USP18	12.0	-0.018382352941176405
PRSS23	1.0	0.044117647058823595
OASL	9.0	0.044117647058823595
CH25H	13.0	-0.018382352941176405
IRF7	12.0	-0.018382352941176405
CTSG	20.0	0.044117647058823595
XAF1	13.0	-0.018382352941176405
