Item ID	Item value	Change in Kuiper test statistic when item removed
HCN3	9.0	-0.0016611295681060456
DCLRE1C	9.0	-0.0016611295681060456
LMAN2L	9.0	-0.0016611295681060456
ZMYND8	9.0	-0.0016611295681060456
TEX261	8.0	-0.0016611295681060456
HSPD1	9.0	-0.0016611295681060456
AURKA	5.0	-0.013565891472867908
PSMC3IP	10.0	0.01619601328903686
MFSD13A	12.0	0.02214839424141768
CCNB1	6.0	-0.0016611295681060456
BRIP1	-3.0	-0.013565891472867908
LDHA	1.0	-0.013565891472867908
MYB	0.0	-0.013565891472867908
SACS	8.0	-0.0016611295681060456
LRRC8C	-4.0	-0.01951827242524884
GTSE1	0.0	-0.013565891472867908
ZNF202	7.0	-0.0016611295681060456
PPARGC1B	1.0	-0.013565891472867908
CDON	-3.0	-0.013565891472867908
RRM2	7.0	-0.0016611295681060456
ATAD5	-4.0	-0.01951827242524884
NUP210	8.0	-0.0016611295681060456
BDNF	-2.0	-0.013565891472867908
STRBP	12.0	0.02214839424141768
CEP152	9.0	-0.0016611295681060456
C1ORF21	-3.0	-0.013565891472867908
NAV1	-3.0	-0.013565891472867908
BFAR	7.0	-0.0016611295681060456
ITFG2	10.0	0.01619601328903686
PDRG1	6.0	-0.0016611295681060456
AFG3L2	-1.0	-0.013565891472867908
RNF145	0.0	-0.013565891472867908
RAD51D	9.0	-0.0016611295681060456
TEF	11.0	0.02214839424141768
PRR15L	6.0	-0.0016611295681060456
CENPJ	8.0	-0.0016611295681060456
RFXAP	7.0	-0.0016611295681060456
TUBGCP3	-3.0	-0.013565891472867908
KIF2C	4.0	-0.013565891472867908
CMTM1	-1.0	-0.013565891472867908
PHLDB2	6.0	-0.0016611295681060456
MET	9.0	-0.0016611295681060456
NECTIN1	0.0	-0.013565891472867908
