Item ID	Item value	Change in Kuiper test statistic when item removed
DPAGT1	13.0	-0.010822510822510845
ANKRD13B	12.0	-0.010822510822510845
ST6GAL1	13.0	-0.010822510822510845
DUSP2	9.0	-0.010822510822510845
RHBDD2	3.0	0.036796536796536716
ABCC5	13.0	-0.010822510822510845
C17ORF80	11.0	-0.010822510822510845
TRPV2	13.0	-0.010822510822510845
SORCS2	1.0	0.036796536796536716
HS2ST1	4.0	0.036796536796536716
CIART	15.0	-0.010822510822510845
CHTF8	12.0	-0.010822510822510845
BCL2L11	12.0	-0.010822510822510845
BTD	15.0	-0.010822510822510845
NFIL3	1.0	0.036796536796536716
C6ORF226	5.0	0.036796536796536716
ERF	9.0	-0.010822510822510845
ZNF248	12.0	-0.010822510822510845
LDLR	14.0	-0.010822510822510845
CNPPD1	12.0	-0.010822510822510845
CCT5	10.0	-0.010822510822510845
ZNF189	11.0	-0.010822510822510845
