Item ID	Item value	Change in Kuiper test statistic when item removed
PLEKHA1	-1.0	-2.220446049250313E-16
TFRC	3.0	-1.1102230246251565E-16
CTPS1	8.0	-2.220446049250313E-16
ADM	-2.0	-0.04166666666666696
AURKA	5.0	-1.1102230246251565E-16
CDC25B	6.0	-1.1102230246251565E-16
VEGFA	0.0	-2.220446049250313E-16
MGAT4A	-1.0	-2.220446049250313E-16
SACS	8.0	-2.220446049250313E-16
CKS2	7.0	-1.1102230246251565E-16
BIRC5	0.0	-2.220446049250313E-16
INTS7	9.0	0.04166666666666652
CENPN	0.0	-2.220446049250313E-16
PFKP	1.0	-1.1102230246251565E-16
STX1A	8.0	-2.220446049250313E-16
