Item ID	Item value	Change in Kuiper test statistic when item removed
ZNF397	7.0	0.02857142857142858
FANCI	-2.0	-0.05476190476190479
DHRS13	-1.0	-0.04285714285714293
DCLRE1C	9.0	0.02857142857142858
STRBP	12.0	0.02857142857142858
WDR75	-3.0	-0.08452380952380956
RFX3	19.0	0.02857142857142858
FZD10	-1.0	-0.04285714285714293
HK2	-1.0	-0.04285714285714293
CDC25B	6.0	0.02857142857142858
POLA1	14.0	0.02857142857142858
NUAK1	10.0	0.02857142857142858
PTTG1	1.0	0.02857142857142858
SALL4	-1.0	-0.04285714285714293
KIF2C	4.0	0.02857142857142858
