Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	3.0	0.009084556254367715
TTC23	11.0	-0.009783368273934168
SLC27A1	15.0	-0.009783368273934168
CSRNP2	11.0	-0.009783368273934168
RASL11B	11.0	-0.009783368273934168
BRCA1	16.0	0.009084556254367715
KRI1	11.0	-0.009783368273934168
CHD1	24.0	0.009084556254367715
CASP9	14.0	-0.009783368273934168
HELB	11.0	-0.009783368273934168
PDK4	17.0	0.009084556254367715
PGM1	6.0	0.009084556254367715
DENND2D	13.0	-0.009783368273934168
BIVM	12.0	-0.009783368273934168
ZHX3	24.0	0.009084556254367715
CDADC1	13.0	-0.009783368273934168
PRKCE	0.0	0.009084556254367715
NAV1	1.0	0.009084556254367715
SAP30	8.0	0.009084556254367715
EPN3	12.0	-0.009783368273934168
RAD51B	21.0	0.009084556254367715
DISP2	16.0	0.009084556254367715
RAD51D	13.0	-0.009783368273934168
TRAF4	10.0	0.009084556254367715
C1QTNF12	2.0	0.009084556254367715
TIMELESS	15.0	-0.009783368273934168
SPARCL1	22.0	0.009084556254367715
CRELD1	14.0	-0.009783368273934168
MET	13.0	-0.009783368273934168
RTEL1	15.0	-0.009783368273934168
GSTT2	13.0	-0.009783368273934168
ZBTB2	24.0	0.009084556254367715
HSPD1	13.0	-0.009783368273934168
ST3GAL4	1.0	0.009084556254367715
RPRML	1.0	0.009084556254367715
IGFBP7	22.0	0.009084556254367715
RAB11FIP4	24.0	0.009084556254367715
GALNT7	15.0	-0.009783368273934168
EGR1	8.0	0.009084556254367715
HEXIM2	13.0	-0.009783368273934168
ANGPT1	21.0	0.009084556254367715
IRX3	15.0	-0.009783368273934168
KRT13	4.0	0.009084556254367715
FANCC	13.0	-0.009783368273934168
APTX	13.0	-0.009783368273934168
VEGFA	4.0	0.009084556254367715
PER1	17.0	0.009084556254367715
NAGK	13.0	-0.009783368273934168
NR4A3	10.0	0.009084556254367715
TMEM98	19.0	0.009084556254367715
CAPRIN1	1.0	0.009084556254367715
CTH	12.0	-0.009783368273934168
RFXAP	11.0	-0.009783368273934168
CALM1	4.0	0.009084556254367715
