Item ID	Item value	Change in Kuiper test statistic when item removed
FGFBP1	-3.0	-0.012499999999999956
NNMT	17.0	0.004166666666666763
C1S	-4.0	-0.012499999999999956
VWF	-3.0	-0.012499999999999956
BDNF	-2.0	-0.012499999999999956
NID2	-4.0	-0.012499999999999956
SAT1	8.0	0.054166666666666696
GEM	18.0	-0.012499999999999956
FOXO1	-2.0	-0.012499999999999956
HSD11B2	-1.0	0.029166666666666785
CEACAM1	19.0	-0.012499999999999956
COL1A2	18.0	-0.012499999999999956
SLC6A8	3.0	0.054166666666666696
MGP	16.0	0.029166666666666785
CCL2	8.0	0.054166666666666696
CD34	19.0	-0.012499999999999956
