Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	8.0	0.021633475580844053
ITGB3	-4.0	-0.03242057847321006
WWC1	12.0	0.021633475580844053
SLC2A1	-2.0	-0.03129445234708389
LAMC2	0.0	-0.03129445234708389
FZD10	-1.0	-0.03129445234708389
BRCA1	12.0	0.021633475580844053
LAMC1	-1.0	-0.03129445234708389
PRSS23	-3.0	-0.03129445234708389
FOXO1	-2.0	-0.03129445234708389
ACTG1	12.0	0.021633475580844053
BBC3	4.0	-0.004267425320056861
NTF4	10.0	0.021633475580844053
PLAU	3.0	-0.004267425320056861
ADAMTS1	9.0	0.021633475580844053
CASP1	13.0	0.021633475580844053
CCL2	8.0	0.021633475580844053
PPARGC1A	-2.0	-0.03129445234708389
PDK1	-1.0	-0.03129445234708389
PDGFRA	13.0	0.021633475580844053
TGFB1	3.0	-0.004267425320056861
FZD2	-3.0	-0.03129445234708389
FZD5	0.0	-0.03129445234708389
ANGPT1	17.0	0.021633475580844053
ITGA3	5.0	-0.004267425320056861
BDNF	-2.0	-0.03129445234708389
FN1	19.0	0.021633475580844053
VEGFD	-2.0	-0.03129445234708389
VEGFA	0.0	-0.03129445234708389
KITLG	9.0	0.021633475580844053
CXCL12	17.0	0.021633475580844053
CDH12	14.0	0.021633475580844053
MAP3K10	10.0	0.021633475580844053
ROR1	16.0	0.021633475580844053
MET	9.0	0.021633475580844053
PIGF	10.0	0.021633475580844053
ATF3	8.0	0.021633475580844053
CDH19	19.0	0.021633475580844053
