Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	8.0	0.02688172043010756
ITGB3	-4.0	-0.03978494623655904
TNC	-2.0	-0.03978494623655904
LAMC2	0.0	-0.03978494623655915
LAMC1	-1.0	-0.03978494623655904
BRCA1	12.0	0.02688172043010756
CASP9	10.0	0.02688172043010756
NTF4	10.0	0.02688172043010756
BCL2L11	8.0	0.02688172043010756
GNG7	15.0	0.02688172043010756
MYB	0.0	-0.03978494623655915
PDGFRA	13.0	0.02688172043010756
HSP90AA1	13.0	0.02688172043010756
IL4R	4.0	-0.006451612903225712
VWF	-3.0	-0.03978494623655904
ANGPT1	17.0	0.02688172043010756
SYK	8.0	0.02688172043010756
ITGA3	5.0	-0.006451612903225712
BDNF	-2.0	-0.03978494623655904
LAMB4	-3.0	-0.03978494623655904
FN1	19.0	0.02688172043010756
PPP2R5B	8.0	0.02688172043010756
PPP2R3B	11.0	0.02688172043010756
VEGFD	-2.0	-0.03978494623655904
PRLR	1.0	-0.006451612903225712
VEGFA	0.0	-0.03978494623655915
KITLG	9.0	0.02688172043010756
COL1A2	18.0	0.02688172043010756
IL2RB	9.0	0.02688172043010756
DDIT4	-1.0	-0.03978494623655904
MET	9.0	0.02688172043010756
