Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	13.0	-0.01079622132253727
TXNL4B	9.0	0.004554655870445401
TNFAIP6	22.0	0.015519568151147023
ABHD3	14.0	-0.010796221322537158
C1R	23.0	0.015519568151147023
LRRC39	3.0	0.015519568151147134
GLRX	13.0	-0.01079622132253727
VLDLR	3.0	0.015519568151147134
TNF	11.0	-0.010796221322537158
NID2	0.0	0.015519568151147134
B3GNTL1	14.0	-0.010796221322537158
AGPAT4	1.0	0.015519568151147134
AURKA	9.0	0.004554655870445401
HPX	24.0	0.015519568151147023
THBD	14.0	-0.010796221322537158
CCNB1	10.0	-0.0064102564102563875
PTTG1	5.0	0.015519568151147134
TRIM5	14.0	-0.010796221322537158
PDK4	17.0	0.015519568151147023
CCL2	12.0	-0.010796221322537158
TAF9B	16.0	0.015519568151147023
A2M	22.0	0.015519568151147023
FAM83D	14.0	-0.010796221322537158
PPARGC1A	2.0	0.015519568151147134
CERS4	12.0	-0.010796221322537158
RRM2	11.0	-0.010796221322537158
SP110	14.0	-0.010796221322537158
ELOVL6	19.0	0.015519568151147023
ACSL3	12.0	-0.010796221322537158
TGFBR2	2.0	0.015519568151147134
FAM111A	16.0	0.015519568151147023
CH25H	13.0	-0.01079622132253727
NR4A3	10.0	-0.0064102564102563875
GPAM	12.0	-0.010796221322537158
PEX6	14.0	-0.010796221322537158
UBE2T	12.0	-0.010796221322537158
IRF7	12.0	-0.010796221322537158
KIF2C	8.0	0.015519568151147134
PGAM5	11.0	-0.010796221322537158
