Item ID	Item value	Change in Kuiper test statistic when item removed
DCLRE1A	23.0	-0.005487804878048785
DET1	0.0	-0.005487804878048785
DCLRE1C	1.0	-0.005487804878048785
RASL11B	23.0	-0.005487804878048785
PPP1R32	17.0	0.019512195121951237
SPIN3	4.0	0.011178861788617822
MEPCE	22.0	0.011178861788617933
RBM4B	0.0	-0.005487804878048785
TUBD1	23.0	-0.005487804878048785
SMG9	22.0	0.011178861788617933
HSD17B7	1.0	-0.005487804878048785
CIART	3.0	-0.005487804878048785
ZNF280D	4.0	0.011178861788617822
GMPPB	1.0	-0.005487804878048785
NMRAL2P	23.0	-0.005487804878048785
EPM2AIP1	23.0	-0.005487804878048785
SLX4	0.0	-0.005487804878048785
ZNF767P	1.0	-0.005487804878048785
CTSK	13.0	0.019512195121951237
SENP8	23.0	-0.005487804878048785
TMEM89	12.0	0.019512195121951237
PDK4	5.0	0.019512195121951237
DPH5	2.0	-0.005487804878048785
BRD8	24.0	-0.005487804878048785
GTSE1	16.0	0.019512195121951237
ZNF436-AS1	19.0	0.019512195121951237
ZNF287	23.0	-0.005487804878048785
LINC00174	1.0	-0.005487804878048785
RBM14	2.0	-0.005487804878048785
IFRD1	0.0	-0.005487804878048785
C17ORF80	23.0	-0.005487804878048785
HDHD3	24.0	-0.005487804878048785
RAD52	0.0	-0.005487804878048785
PER3	3.0	-0.005487804878048785
BCL6	10.0	0.019512195121951237
ZNF30	23.0	-0.005487804878048785
NDUFAF5	12.0	0.019512195121951237
RSRP1	1.0	-0.005487804878048785
ASPA	2.0	-0.005487804878048785
RECK	3.0	-0.005487804878048785
ANKRD36B	14.0	0.019512195121951237
