Item ID	Item value	Change in Kuiper test statistic when item removed
TSKS	16.0	0.00492694529391785
EIF4A2	14.0	-0.00433231396534145
CCDC167	17.0	0.00492694529391785
ANKRD13B	12.0	-0.00433231396534145
ANKRD37	3.0	0.00492694529391785
SAMD9L	13.0	-0.00433231396534145
CD83	12.0	-0.00433231396534145
ARIH2OS	10.0	-0.00433231396534145
RAB43	2.0	0.004926945293917739
PODNL1	15.0	-0.00433231396534145
GPR171	14.0	-0.00433231396534145
SACS	12.0	-0.00433231396534145
DPF3	20.0	0.00492694529391785
RPTN	14.0	-0.00433231396534145
SOX5	20.0	0.00492694529391785
LZTS3	0.0	0.004926945293917739
TMEM8B	15.0	-0.00433231396534145
IL4R	8.0	0.004926945293917795
KCNH8	6.0	0.004926945293917739
ARID5A	12.0	-0.00433231396534145
SNHG15	12.0	-0.00433231396534145
FNDC1	13.0	-0.00433231396534145
RBP1	5.0	0.004926945293917739
FAM161B	13.0	-0.00433231396534145
EPHA1	11.0	-0.00433231396534145
NGEF	5.0	0.004926945293917739
OSBP2	1.0	0.004926945293917739
ZNF550	10.0	-0.00433231396534145
CSF1R	12.0	-0.00433231396534145
DEFB103B	17.0	0.00492694529391785
NNMT	21.0	0.00492694529391785
CCDC142	12.0	-0.00433231396534145
SLC41A1	13.0	-0.00433231396534145
BRIP1	1.0	0.004926945293917739
SLAMF8	14.0	-0.00433231396534145
CDH23	2.0	0.004926945293917739
UGT3A2	13.0	-0.00433231396534145
A2M	22.0	0.00492694529391785
NFE2	13.0	-0.00433231396534145
TCAF2	2.0	0.004926945293917739
MPIG6B	13.0	-0.00433231396534145
CLK4	10.0	-0.00433231396534145
IFFO1	12.0	-0.00433231396534145
IL1F10	10.0	-0.00433231396534145
CRNN	18.0	0.00492694529391785
POLA1	18.0	0.00492694529391785
RAET1E	14.0	-0.00433231396534145
COL5A3	14.0	-0.00433231396534145
RCAN2	5.0	0.004926945293917739
CD207	14.0	-0.00433231396534145
SSPN	18.0	0.00492694529391785
RSPH14	1.0	0.004926945293917739
DIRAS3	1.0	0.004926945293917739
CLIC5	14.0	-0.00433231396534145
ORM1	10.0	-0.00433231396534145
TNFAIP6	22.0	0.00492694529391785
DIRAS1	15.0	-0.00433231396534145
SPIN3	16.0	0.00492694529391785
MYOM3	12.0	-0.00433231396534145
OASL	9.0	-0.00433231396534145
GPER1	1.0	0.004926945293917739
CNGA1	1.0	0.004926945293917739
DACT2	1.0	0.004926945293917739
HMGB3P1	4.0	0.00492694529391785
CTSG	20.0	0.00492694529391785
LRRFIP1	1.0	0.004926945293917739
CCR5	9.0	-0.00433231396534145
ZNF641	11.0	-0.00433231396534145
RBBP8NL	11.0	-0.00433231396534145
ATP6V0E2-AS1	12.0	-0.00433231396534145
DUSP2	9.0	-0.00433231396534145
TNFRSF12A	8.0	0.004926945293917795
SGIP1	22.0	0.00492694529391785
MYEOV	11.0	-0.00433231396534145
SLC39A10	15.0	-0.00433231396534145
MYRIP	23.0	0.00492694529391785
NSUN7	2.0	0.004926945293917739
DUSP6	9.0	-0.00433231396534145
ANKFN1	14.0	-0.00433231396534145
MPPED1	12.0	-0.00433231396534145
IRF7	12.0	-0.00433231396534145
B3GNT3	5.0	0.004926945293917739
FJX1	2.0	0.004926945293917739
LINC00482	9.0	-0.00433231396534145
SAMD5	16.0	0.00492694529391785
MEGF6	14.0	-0.00433231396534145
KRT80	13.0	-0.00433231396534145
TUBAL3	22.0	0.00492694529391785
AMIGO2	2.0	0.004926945293917739
ZDHHC23	14.0	-0.00433231396534145
CRIP1	6.0	0.004926945293917739
PHYHIP	13.0	-0.00433231396534145
RNFT1	13.0	-0.00433231396534145
CLEC3B	23.0	0.00492694529391785
SERTAD4	5.0	0.004926945293917739
C10ORF95	13.0	-0.00433231396534145
HAS3	10.0	-0.00433231396534145
RELT	3.0	0.00492694529391785
KCNJ2	9.0	-0.00433231396534145
TBX1	3.0	0.00492694529391785
CKM	16.0	0.00492694529391785
IL37	14.0	-0.00433231396534145
FMO4	15.0	-0.00433231396534145
MFAP4	21.0	0.00492694529391785
TPPP3	2.0	0.004926945293917739
MYO15B	13.0	-0.00433231396534145
FMOD	4.0	0.00492694529391785
PNPLA1	15.0	-0.00433231396534145
SLC28A3	2.0	0.004926945293917739
