Item ID	Item value	Change in Kuiper test statistic when item removed
PLVAP	22.0	-0.0032369146005508664
SERPINE2	1.0	-0.003236914600550922
WWC1	16.0	0.005096418732782437
ZMYND8	13.0	0.005096418732782548
NEXMIF	1.0	-0.003236914600550922
FAM107A	22.0	-0.0032369146005508664
CIB1	8.0	-0.003236914600550922
IRS2	20.0	-0.0024698295238424484
TNF	11.0	0.005096418732782437
ACTG1	16.0	0.005096418732782437
PLAU	7.0	-0.003236914600550922
DPYSL3	3.0	-0.003236914600550922
PHLDA2	9.0	-0.0032369146005508664
EPHB1	1.0	-0.003236914600550922
PDGFRA	17.0	0.005096418732782437
LMO4	11.0	0.005096418732782437
DAPK2	5.0	-0.0032369146005508664
IGFBP3	21.0	-0.0032369146005508664
PRKCE	0.0	-0.003236914600550922
ARID5B	12.0	0.005096418732782437
RNF41	1.0	-0.003236914600550922
CH25H	13.0	0.005096418732782548
DDIT4	3.0	-0.003236914600550922
TYRO3	15.0	0.005096418732782437
EPHA1	11.0	0.005096418732782437
S100A9	5.0	-0.0032369146005508664
PHLDB2	10.0	0.005096418732782437
S100A7	4.0	-0.003236914600550922
CSF1R	12.0	0.005096418732782437
DEFB103B	17.0	0.005096418732782437
MST1R	11.0	0.005096418732782437
APCDD1	1.0	-0.003236914600550922
FUT3	5.0	-0.0032369146005508664
FUT8	15.0	0.005096418732782437
C5	15.0	0.005096418732782437
FLRT2	13.0	0.005096418732782548
CLEC7A	1.0	-0.003236914600550922
SLAMF8	14.0	0.005096418732782437
ST3GAL4	1.0	-0.003236914600550922
FAM83D	14.0	0.005096418732782437
TCAF2	2.0	-0.003236914600550922
CARMIL1	5.0	-0.0032369146005508664
TGFB1	7.0	-0.003236914600550922
AUTS2	2.0	-0.003236914600550922
HSPA5	1.0	-0.003236914600550922
TNFSF14	10.0	0.005096418732782437
MCAM	3.0	-0.003236914600550922
RARRES2	23.0	-0.0032369146005508664
CAV1	15.0	0.005096418732782437
FN1	23.0	-0.0032369146005508664
BST1	5.0	-0.0032369146005508664
RGCC	1.0	-0.003236914600550922
CXCL12	21.0	-0.0032369146005508664
NR4A3	10.0	0.005096418732782437
CDK5	14.0	0.005096418732782437
TRPV4	5.0	-0.0032369146005508664
ID1	6.0	-0.003236914600550922
ADA	14.0	0.005096418732782437
DOCK4	16.0	0.005096418732782437
BMPR2	0.0	-0.003236914600550922
TNFAIP6	22.0	-0.0032369146005508664
ITGB3	0.0	-0.003236914600550922
TRADD	15.0	0.005096418732782437
LAMC2	4.0	-0.003236914600550922
LAMC1	3.0	-0.003236914600550922
SH3RF1	0.0	-0.003236914600550922
FLCN	10.0	0.005096418732782437
CHL1	20.0	-0.0024698295238424484
PSTPIP2	2.0	-0.003236914600550922
ADAMTS1	13.0	0.005096418732782548
GPER1	1.0	-0.003236914600550922
BDKRB1	9.0	-0.0032369146005508664
CTSG	20.0	-0.0024698295238424484
CCR5	9.0	-0.0032369146005508664
ADAMTS9	18.0	0.005096418732782437
CD34	23.0	-0.0032369146005508664
EMX2	5.0	-0.0032369146005508664
FGFBP1	1.0	-0.003236914600550922
RIPK3	12.0	0.005096418732782437
SYK	12.0	0.005096418732782437
DUSP1	21.0	-0.0032369146005508664
ITGA3	9.0	-0.0032369146005508664
ARHGEF16	12.0	0.005096418732782437
ANO6	4.0	-0.003236914600550922
NAV1	1.0	-0.003236914600550922
TGFBR2	2.0	-0.003236914600550922
CEACAM1	23.0	-0.0032369146005508664
NAV3	15.0	0.005096418732782437
PALLD	1.0	-0.003236914600550922
EVL	15.0	0.005096418732782437
PLCB1	22.0	-0.0032369146005508664
MET	13.0	0.005096418732782548
CX3CR1	12.0	0.005096418732782437
HDAC5	12.0	0.005096418732782437
SATB2	16.0	0.005096418732782437
PTAFR	8.0	-0.003236914600550922
CXCR4	1.0	-0.003236914600550922
NTN1	23.0	-0.0032369146005508664
LIMA1	11.0	0.005096418732782437
ERBB4	23.0	-0.0032369146005508664
ALOX5	7.0	-0.003236914600550922
GPC2	14.0	0.005096418732782437
CCL2	12.0	0.005096418732782437
SLIT3	21.0	-0.0032369146005508664
LRIG2	2.0	-0.003236914600550922
JAM2	17.0	0.005096418732782437
TBX1	3.0	-0.003236914600550922
ANGPT1	21.0	-0.0032369146005508664
LAMB4	1.0	-0.003236914600550922
SEMA4F	14.0	0.005096418732782437
VEGFD	2.0	-0.003236914600550922
KLF4	22.0	-0.0032369146005508664
MCOLN2	4.0	-0.003236914600550922
ELP6	14.0	0.005096418732782437
VEGFA	4.0	-0.003236914600550922
KITLG	13.0	0.005096418732782548
ACKR4	8.0	-0.003236914600550922
S100P	5.0	-0.0032369146005508664
ASB2	3.0	-0.003236914600550922
RECK	15.0	0.005096418732782437
CCL26	16.0	0.005096418732782437
