Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	12.0	0.017391304347826098
PLVAP	22.0	-0.004830917874396157
DOCK4	16.0	0.006652335714120605
BMPR2	0.0	-0.004830917874396157
TNFAIP6	22.0	-0.004830917874396157
ITGB3	0.0	-0.004830917874396157
TRADD	15.0	0.017391304347825987
PTAFR	8.0	-0.004830917874396157
FAM107A	22.0	-0.004830917874396157
CXCR4	1.0	-0.004830917874396157
CIB1	8.0	-0.004830917874396157
LAMC2	4.0	-0.004830917874396157
IRS2	20.0	0.0035688694727595838
TNF	11.0	0.017391304347825987
ACTG1	16.0	0.006652335714120605
PLAU	7.0	-0.004830917874396157
CLEC7A	1.0	-0.004830917874396157
ADAMTS1	13.0	0.017391304347825987
GPER1	1.0	-0.004830917874396157
DUOX2	4.0	-0.004830917874396157
TCAF2	2.0	-0.004830917874396157
PDGFRA	17.0	0.006652335714120605
CARMIL1	5.0	-0.004830917874396157
FGFBP1	1.0	-0.004830917874396157
TGFB1	7.0	-0.004830917874396157
HSPA5	1.0	-0.004830917874396157
ITGA3	9.0	0.011915493608857408
DAPK2	5.0	-0.004830917874396157
MCAM	3.0	-0.004830917874396157
PRKCE	0.0	-0.004830917874396157
RARRES2	23.0	-0.004830917874396157
CAV1	15.0	0.017391304347825987
FN1	23.0	-0.004830917874396157
SEMA4F	14.0	0.017391304347825987
ANO6	4.0	-0.004830917874396157
VEGFD	2.0	-0.004830917874396157
ELP6	14.0	0.017391304347825987
TGFBR2	2.0	-0.004830917874396157
VEGFA	4.0	-0.004830917874396157
CXCL12	21.0	-0.00110949310033992
NR4A3	10.0	0.017391304347826098
TRPV4	5.0	-0.004830917874396157
EPHA1	11.0	0.017391304347825987
MET	13.0	0.017391304347825987
CCL26	16.0	0.006652335714120605
S100A7	4.0	-0.004830917874396157
