Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	20.0	-0.0018084903864459267
SLC27A1	15.0	0.0079954311821816
ITPRIP	22.0	-0.0018084903864459267
TFRC	7.0	-0.0018084903864459267
CIB1	8.0	-0.0018084903864459267
FZD10	4.0	-0.0018084903864459267
TNF	11.0	-0.0018084903864459267
RGS2	10.0	-0.0018084903864459267
CDK20	12.0	0.005425471159337503
PDK4	17.0	0.00799543118218149
NEK1	15.0	0.0079954311821816
EPHB1	1.0	-0.0018084903864459267
PDK1	3.0	-0.0018084903864459267
PDGFRA	17.0	0.00799543118218149
DAPK2	5.0	-0.0018084903864459267
IGFBP3	22.0	-0.0018084903864459267
PRKCE	0.0	-0.0018084903864459267
PRLR	5.0	-0.0018084903864459267
CDC25B	10.0	-0.0018084903864459267
DDIT4	3.0	-0.0018084903864459267
TYRO3	15.0	0.0079954311821816
ROR1	20.0	-0.0018084903864459267
ROR2	3.0	-0.0018084903864459267
EPHA1	11.0	-0.0018084903864459267
PFN2	7.0	-0.0018084903864459267
CSF1R	13.0	0.00799543118218149
PKDCC	14.0	0.00799543118218149
NPR2	17.0	0.00799543118218149
FBLN1	21.0	-0.0018084903864459267
ADRB2	16.0	0.0079954311821816
MST1R	11.0	-0.0018084903864459267
KALRN	13.0	0.00799543118218149
STK31	2.0	-0.0018084903864459267
HPX	24.0	-0.0018084903864459267
C5	16.0	0.0079954311821816
NUAK1	14.0	0.00799543118218149
STK35	23.0	-0.0018084903864459267
CLEC7A	1.0	-0.0018084903864459267
PPARGC1A	2.0	-0.0018084903864459267
ZBED3	2.0	-0.0018084903864459267
HEXIM2	14.0	0.00799543118218149
EGR1	8.0	-0.0018084903864459267
TGFB1	7.0	-0.0018084903864459267
FZD5	5.0	-0.0018084903864459267
BDNF	2.0	-0.0018084903864459267
RARRES2	23.0	-0.0018084903864459267
FN1	23.0	-0.0018084903864459267
BST1	5.0	-0.0018084903864459267
RGCC	1.0	-0.0018084903864459267
SH3BP5L	12.0	0.005425471159337503
FES	12.0	0.005425471159337503
ADCK5	13.0	0.00799543118218149
CALM1	4.0	-0.0018084903864459267
MAP3K13	4.0	-0.0018084903864459267
BCAR3	2.0	-0.0018084903864459267
DIRAS3	2.0	-0.0018084903864459267
BMPR2	0.0	-0.0018084903864459267
ITGB3	0.0	-0.0018084903864459267
VLDLR	3.0	-0.0018084903864459267
SPRED2	10.0	-0.0018084903864459267
FLCN	10.0	-0.0018084903864459267
GPER1	1.0	-0.0018084903864459267
PMEPA1	4.0	-0.0018084903864459267
CTSG	20.0	-0.0018084903864459267
CNPPD1	12.0	0.005425471159337503
DUSP2	9.0	-0.0018084903864459267
HSP90AA1	17.0	0.00799543118218149
RIPK3	12.0	0.005425471159337503
DUSP1	21.0	-0.0018084903864459267
CAD	12.0	0.005425471159337503
PPP2R5B	12.0	0.005425471159337503
DUSP6	9.0	-0.0018084903864459267
TGFBR2	2.0	-0.0018084903864459267
TRAF4	10.0	-0.0018084903864459267
CKS2	11.0	-0.0018084903864459267
CRY1	1.0	-0.0018084903864459267
MET	13.0	0.00799543118218149
GPRC5C	6.0	-0.0018084903864459267
NIM1K	6.0	-0.0018084903864459267
RNASEL	14.0	0.00799543118218149
PELI2	1.0	-0.0018084903864459267
ADCY4	3.0	-0.0018084903864459267
LRP4	4.0	-0.0018084903864459267
FGD2	24.0	-0.0018084903864459267
AURKA	9.0	-0.0018084903864459267
NTF4	15.0	0.0079954311821816
SERTAD1	11.0	-0.0018084903864459267
ERBB4	23.0	-0.0018084903864459267
PRKY	11.0	-0.0018084903864459267
SH3BP5	5.0	-0.0018084903864459267
CCL2	12.0	0.005425471159337503
STOX1	3.0	-0.0018084903864459267
HES5	11.0	-0.0018084903864459267
BRD4	0.0	-0.0018084903864459267
TBX1	3.0	-0.0018084903864459267
CDKN2B	11.0	-0.0018084903864459267
VEGFD	2.0	-0.0018084903864459267
VEGFA	4.0	-0.0018084903864459267
DNAJA1	12.0	0.005425471159337503
RAD50	12.0	0.005425471159337503
DBNDD2	15.0	0.0079954311821816
GHRL	24.0	-0.0018084903864459267
TEK	20.0	-0.0018084903864459267
