Item ID	Item value	Change in Kuiper test statistic when item removed
PLVAP	23.0	-0.0040616246498599295
DOCK4	16.0	0.007843137254902044
BMPR2	0.0	-0.0040616246498598185
SERPINE2	2.0	-0.0040616246498598185
TNFAIP6	23.0	-0.0040616246498599295
ZMYND8	14.0	0.007843137254901933
NEXMIF	1.0	-0.0040616246498598185
ITGB3	0.0	-0.0040616246498598185
TRADD	15.0	0.007843137254901933
FAM107A	22.0	-0.0040616246498599295
CIB1	8.0	-0.0040616246498599295
LAMC2	4.0	-0.0040616246498598185
IRS2	20.0	-0.0040616246498599295
TNF	11.0	0.007843137254901933
ACTG1	16.0	0.007843137254902044
FLCN	10.0	0.005531533001550126
GJA1	4.0	-0.0040616246498598185
PLAU	8.0	-0.0040616246498599295
ADAMTS1	13.0	0.007843137254901933
GPER1	1.0	-0.0040616246498598185
DPYSL3	3.0	-0.0040616246498599295
PHLDA2	9.0	0.005531533001550126
NEFH	20.0	-0.0040616246498599295
GTSE1	5.0	-0.0040616246498598185
PDGFRA	17.0	0.007843137254901933
MKKS	11.0	0.007843137254901933
RIPK3	12.0	0.007843137254901933
DUSP1	21.0	-0.0040616246498599295
LMO4	11.0	0.007843137254901933
DAPK2	5.0	-0.0040616246498598185
IGFBP3	22.0	-0.0040616246498599295
PRKCE	0.0	-0.0040616246498598185
ANO6	4.0	-0.0040616246498598185
RNF41	2.0	-0.0040616246498598185
TGFBR2	2.0	-0.0040616246498598185
NAV3	15.0	0.007843137254901933
EVL	15.0	0.007843137254901933
ROR2	3.0	-0.0040616246498599295
EPHA1	11.0	0.007843137254901933
MET	13.0	0.007843137254901933
PHLDB2	10.0	0.005531533001550126
PFN2	7.0	-0.004061624649859985
S100A7	5.0	-0.0040616246498598185
PTGER4	11.0	0.007843137254901933
HDAC5	13.0	0.007843137254901933
CSF1R	13.0	0.007843137254901933
PTAFR	8.0	-0.0040616246498599295
MOSPD2	14.0	0.007843137254901933
FBLN1	21.0	-0.0040616246498599295
ATP1A2	23.0	-0.0040616246498599295
FUT3	6.0	-0.0040616246498598185
C5	16.0	0.007843137254902044
FLRT2	13.0	0.007843137254901933
ERBB4	23.0	-0.0040616246498599295
CLEC7A	1.0	-0.0040616246498598185
SLAMF8	14.0	0.007843137254901933
ST3GAL4	2.0	-0.0040616246498598185
CCL2	12.0	0.007843137254901933
LRIG2	2.0	-0.0040616246498598185
PPARGC1A	2.0	-0.0040616246498598185
DUOX2	4.0	-0.0040616246498598185
TCAF2	2.0	-0.0040616246498598185
CARMIL1	5.0	-0.0040616246498598185
IL33	15.0	0.007843137254901933
TGFB1	7.0	-0.004061624649859985
HSPA5	2.0	-0.0040616246498598185
MCAM	4.0	-0.0040616246498598185
RARRES2	23.0	-0.0040616246498599295
IDH2	6.0	-0.0040616246498598185
FN1	23.0	-0.0040616246498599295
SEMA4F	14.0	0.007843137254901933
VEGFD	2.0	-0.0040616246498598185
KLF4	23.0	-0.0040616246498599295
ELP6	14.0	0.007843137254901933
VEGFA	4.0	-0.0040616246498598185
BST1	5.0	-0.0040616246498598185
RGCC	1.0	-0.0040616246498598185
CXCL12	21.0	-0.0040616246498599295
NR4A3	10.0	0.005531533001550126
BCL6	22.0	-0.0040616246498599295
FES	12.0	0.007843137254901933
TEK	20.0	-0.0040616246498599295
RECK	15.0	0.007843137254901933
ADA	14.0	0.007843137254901933
CCL26	16.0	0.007843137254902044
