Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	3.0	-0.006157635467980205
TFRC	7.0	-0.006157635467980205
SLC2A1	2.0	-0.006157635467980205
CXCR4	1.0	-0.006157635467980205
AQP3	10.0	0.012354554096840942
TNF	11.0	0.029556650246305494
HK2	3.0	-0.006157635467980205
AQP1	20.0	-0.006157635467980205
HSD11B2	3.0	-0.006157635467980205
BRIP1	1.0	-0.006157635467980205
PLAU	7.0	-0.006157635467980205
CD34	23.0	-0.006157635467980205
STOX1	3.0	-0.006157635467980205
PDK1	3.0	-0.006157635467980205
EGR1	8.0	-0.006157635467980205
BNIP3L	4.0	-0.006157635467980205
EGLN2	10.0	0.012354554096840942
CAV3	19.0	0.003411742522450467
PRKCE	0.0	-0.006157635467980205
CAV1	15.0	0.029556650246305494
VEGFD	2.0	-0.006157635467980205
CBFA2T3	14.0	0.029556650246305494
TGFBR2	2.0	-0.006157635467980205
VEGFA	4.0	-0.006157635467980205
RGCC	1.0	-0.006157635467980205
CXCL12	21.0	-0.006157635467980205
DDIT4	3.0	-0.006157635467980205
CARD16	15.0	0.029556650246305494
ADA	14.0	0.029556650246305494
