Item ID	Item value	Change in Kuiper test statistic when item removed
GCDH	12.0	-0.012987012987012991
ARG2	14.0	-0.012987012987012991
GLYATL1	14.0	-0.012987012987012991
GFPT2	2.0	0.03463203463203457
CAD	12.0	-0.012987012987012991
SIRT4	13.0	-0.012987012987012991
PYCR1	16.0	-0.012987012987012991
CTPS1	12.0	-0.012987012987012991
MTR	2.0	0.03463203463203457
MAT1A	16.0	-0.012987012987012991
THNSL2	12.0	-0.012987012987012991
GLS	24.0	0.03463203463203468
ALDH4A1	17.0	0.02867965367965375
HYKK	3.0	0.03463203463203457
AMDHD1	16.0	-0.012987012987012991
CTH	12.0	-0.012987012987012991
ASPG	16.0	-0.012987012987012991
KYAT1	10.0	0.03463203463203457
SCLY	15.0	-0.012987012987012991
CRYM	4.0	0.03463203463203457
ASPA	14.0	-0.012987012987012991
PSPH	14.0	-0.012987012987012991
