Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.008021390374331694
GCDH	12.0	-0.008021390374331694
AARS2	14.0	-0.008021390374331694
SLC25A2	23.0	0.022281639928698582
MRPS14	15.0	-0.008021390374331805
NOTCH4	16.0	-0.008021390374331694
ASMT	2.0	0.022281639928698638
SRBD1	17.0	-0.008021390374331694
PTAFR	8.0	0.022281639928698638
RBM4B	13.0	-0.008021390374331694
TNF	11.0	-0.008021390374331694
ACACA	17.0	-0.008021390374331694
RBM4	13.0	-0.008021390374331694
RGS2	10.0	0.0033422459893046597
ZNF706	14.0	-0.008021390374331694
DPH2	12.0	-0.008021390374331694
PDK4	17.0	-0.008021390374331694
DPH5	14.0	-0.008021390374331694
ST3GAL2	10.0	0.0033422459893046597
PDK1	3.0	0.022281639928698638
ZNF540	11.0	-0.008021390374331694
CERS4	12.0	-0.008021390374331694
ARG2	14.0	-0.008021390374331694
NSUN5	13.0	-0.008021390374331694
UQCC2	17.0	-0.008021390374331694
ELOVL6	19.0	0.022281639928698582
ACSL3	13.0	-0.008021390374331694
TRNAU1AP	13.0	-0.008021390374331694
PER2	21.0	0.022281639928698582
PER1	18.0	0.022281639928698582
CAPRIN1	1.0	0.022281639928698638
RPUSD3	11.0	-0.008021390374331694
BCL3	8.0	0.022281639928698638
PNPLA1	15.0	-0.008021390374331805
