Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	0.06666666666666676
VPS18	16.0	0.06666666666666676
SLC20A2	-3.0	-0.033333333333333215
TFRC	3.0	-0.033333333333333215
ITGB3	-4.0	-0.033333333333333215
CAV1	11.0	0.01666666666666683
SLC52A1	9.0	0.01666666666666672
CXCR4	-3.0	-0.033333333333333215
CH25H	9.0	0.01666666666666672
ITCH	-3.0	-0.033333333333333215
EFNB3	4.0	-0.033333333333333215
TRIM5	10.0	0.01666666666666672
LAMP3	2.0	-0.033333333333333215
TRIM68	8.0	0.01666666666666672
TYRO3	11.0	0.01666666666666683
CCR5	5.0	-0.033333333333333215
LDLR	10.0	0.01666666666666672
PPID	8.0	0.01666666666666672
XPR1	10.0	0.01666666666666672
HSPA1A	9.0	0.01666666666666672
NECTIN1	0.0	-0.033333333333333215
