Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	20.0	0.0033745781777277384
TFRC	7.0	0.0033745781777277384
CLPB	13.0	-0.00456192975878017
HP	18.0	0.0033745781777277384
TNF	11.0	0.003374578177727794
AQP1	20.0	0.0033745781777277384
ACTG1	16.0	0.0033745781777277384
RAB43	2.0	0.0033745781777277384
LAMP3	6.0	0.0033745781777277384
VPS18	20.0	0.0033745781777277384
BNIP3L	4.0	0.0033745781777277384
IL4R	8.0	0.0033745781777277384
PRKCE	0.0	0.0033745781777277384
ARID5A	12.0	-0.00456192975878017
RNASE6	15.0	-0.00456192975878017
PRLR	5.0	0.0033745781777277384
MPEG1	13.0	-0.00456192975878017
SAP30	8.0	0.0033745781777277384
CH25H	13.0	-0.00456192975878017
CCDC80	20.0	0.0033745781777277384
DDIT4	3.0	0.0033745781777277384
TYRO3	15.0	-0.00456192975878017
CARD16	15.0	-0.00456192975878017
WDFY4	15.0	-0.00456192975878017
S100A9	5.0	0.0033745781777277384
NAIP	13.0	-0.00456192975878017
PPID	12.0	-0.00456192975878017
XPR1	14.0	-0.00456192975878017
FKBP5	20.0	0.0033745781777277384
S100A7	4.0	0.0033745781777277384
CSF1R	12.0	-0.00456192975878017
DEFB103B	17.0	0.0033745781777277384
CFH	22.0	0.0033745781777277384
MST1R	11.0	0.003374578177727794
HPX	24.0	0.0033745781777277384
C5	15.0	-0.00456192975878017
EFNB3	8.0	0.0033745781777277384
CLEC7A	1.0	0.0033745781777277384
SLAMF8	14.0	-0.00456192975878017
SLAMF7	15.0	-0.00456192975878017
A2M	22.0	0.0033745781777277384
TGFB1	7.0	0.0033745781777277384
FZD5	4.0	0.0033745781777277384
RARRES2	23.0	0.0033745781777277384
KLRC4	23.0	0.0033745781777277384
CAV1	15.0	-0.00456192975878017
FN1	23.0	0.0033745781777277384
PRG2	2.0	0.0033745781777277384
SLC52A1	13.0	-0.00456192975878017
RAB27A	14.0	-0.00456192975878017
IL1F10	10.0	0.0033745781777277384
GJB2	4.0	0.0033745781777277384
RAET1E	14.0	-0.00456192975878017
CXCL12	21.0	0.0033745781777277384
FES	12.0	-0.00456192975878017
CD207	14.0	-0.00456192975878017
BCL3	7.0	0.0033745781777277384
SLC26A6	13.0	-0.00456192975878017
RTP4	13.0	-0.00456192975878017
LEAP2	10.0	0.0033745781777277384
ITGB3	0.0	0.0033745781777277384
ADM	2.0	0.0033745781777277384
CHD1	24.0	0.0033745781777277384
OASL	9.0	0.0033745781777277384
CASP9	14.0	-0.00456192975878017
THBD	14.0	-0.00456192975878017
PSTPIP1	15.0	-0.00456192975878017
TRIM5	14.0	-0.00456192975878017
GPER1	1.0	0.0033745781777277384
CASP4	14.0	-0.00456192975878017
HYAL3	14.0	-0.00456192975878017
TRIM68	12.0	-0.00456192975878017
CASP1	17.0	0.0033745781777277384
BDKRB1	9.0	0.0033745781777277384
CTSG	20.0	0.0033745781777277384
HMGCS2	17.0	0.0033745781777277384
TNFAIP8L2	13.0	-0.00456192975878017
CD36	21.0	0.0033745781777277384
CCR5	9.0	0.0033745781777277384
ADAMTS9	18.0	0.0033745781777277384
RBM14	14.0	-0.00456192975878017
HSP90AA1	17.0	0.0033745781777277384
ARG2	14.0	-0.00456192975878017
PTGIR	13.0	-0.00456192975878017
RIPK3	12.0	-0.00456192975878017
DCD	21.0	0.0033745781777277384
SYK	12.0	-0.00456192975878017
IRAK3	24.0	0.0033745781777277384
ZDHHC11	4.0	0.0033745781777277384
CEACAM1	23.0	0.0033745781777277384
TRAF4	10.0	0.0033745781777277384
IRF1	7.0	0.0033745781777277384
IRF7	12.0	-0.00456192975878017
FAM20A	7.0	0.0033745781777277384
TLR5	14.0	-0.00456192975878017
BIRC3	13.0	-0.00456192975878017
CX3CR1	12.0	-0.00456192975878017
RNASEL	13.0	-0.00456192975878017
SLC20A2	1.0	0.0033745781777277384
C1S	0.0	0.0033745781777277384
C1R	23.0	0.0033745781777277384
PTAFR	8.0	0.0033745781777277384
CXCR4	1.0	0.0033745781777277384
USP18	12.0	-0.00456192975878017
HSPD1	13.0	-0.00456192975878017
IL1RL2	13.0	-0.00456192975878017
LCE3B	13.0	-0.00456192975878017
RNASE7	13.0	-0.00456192975878017
CCL2	12.0	-0.00456192975878017
LDLR	14.0	-0.00456192975878017
CCT5	10.0	0.0033745781777277384
DUOX2	4.0	0.0033745781777277384
IL37	14.0	-0.00456192975878017
IL10RB	11.0	0.003374578177727794
CARD8	13.0	-0.00456192975878017
VEGFD	2.0	0.0033745781777277384
MCOLN2	4.0	0.0033745781777277384
MFAP4	21.0	0.0033745781777277384
ITCH	1.0	0.0033745781777277384
GPAM	12.0	-0.00456192975878017
IGLL1	15.0	-0.00456192975878017
TRIM35	20.0	0.0033745781777277384
ZYX	15.0	-0.00456192975878017
CCL26	16.0	0.0033745781777277384
HSPA1A	13.0	-0.00456192975878017
NECTIN1	4.0	0.0033745781777277384
C1QC	2.0	0.0033745781777277384
