Item ID	Item value	Change in Kuiper test statistic when item removed
GALT	11.0	-0.005494505494505364
SORD	18.0	0.07142857142857162
NAGA	10.0	-0.005494505494505364
ENO2	1.0	-0.005494505494505364
FUT2	9.0	-0.005494505494505364
CBFA2T3	10.0	-0.005494505494505364
HK2	-1.0	-0.005494505494505364
FUT8	11.0	-0.005494505494505364
LDHA	1.0	-0.005494505494505364
STBD1	-2.0	-0.047161172161171994
DDIT4	-1.0	-0.005494505494505364
PFKP	1.0	-0.005494505494505364
PGM1	2.0	-0.005494505494505364
XYLB	11.0	-0.005494505494505364
