Item ID	Item value	Change in Kuiper test statistic when item removed
TBX1	-1.0	-0.07261904761904764
FZD2	-3.0	-0.07261904761904764
BMPR2	-4.0	-0.08452380952380945
TGFB1	3.0	-0.0011904761904762973
LUZP1	0.0	-0.030952380952380953
CAV3	15.0	0.028571428571428248
LMO4	7.0	0.022619047619047428
TGFBR2	-2.0	-0.07261904761904764
HEYL	11.0	0.022619047619047428
ADAMTS1	9.0	0.022619047619047428
MYL2	8.0	0.022619047619047428
SALL4	-1.0	-0.07261904761904764
SLIT3	17.0	0.028571428571428248
CRELD1	10.0	0.022619047619047428
ZFPM2	16.0	0.028571428571428248
