Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.004918032786884963
ERO1A	3.0	0.011748633879781534
CLIC5	14.0	-0.004918032786884963
SLC25A2	22.0	0.011748633879781645
CPQ	23.0	0.011748633879781645
CPXM2	16.0	-0.004918032786884963
MRPS14	15.0	-0.004918032786885074
PARS2	12.0	-0.004918032786885074
ECE2	12.0	-0.004918032786885074
TNF	11.0	-0.004918032786885074
RBM4	13.0	-0.004918032786885074
RGS2	10.0	0.011748633879781534
PDK4	17.0	-0.004918032786884963
CTSG	20.0	0.011748633879781645
HMGCS2	17.0	-0.004918032786884963
PLEKHN1	15.0	-0.004918032786885074
PDK1	3.0	0.011748633879781534
CERS4	12.0	-0.004918032786885074
ARG2	14.0	-0.004918032786884963
ST6GAL1	13.0	-0.004918032786885074
NSUN5	13.0	-0.004918032786885074
ELOVL6	19.0	0.011748633879781645
ACSL3	12.0	-0.004918032786885074
TRNAU1AP	13.0	-0.004918032786885074
TENT5B	16.0	-0.004918032786884963
NT5C3B	13.0	-0.004918032786885074
BTD	15.0	-0.004918032786885074
RPUSD3	11.0	-0.004918032786885074
ST6GALNAC3	20.0	0.011748633879781645
DCP2	11.0	-0.004918032786885074
ABCG1	4.0	0.011748633879781534
RTN2	14.0	-0.004918032786884963
GCDH	12.0	-0.004918032786885074
NNMT	21.0	0.011748633879781645
AARS2	14.0	-0.004918032786884963
ASMT	2.0	0.011748633879781534
SRBD1	16.0	-0.004918032786884963
PTAFR	8.0	0.011748633879781534
GSTT2	13.0	-0.004918032786885074
RBM4B	12.0	-0.004918032786885074
FUT3	5.0	0.011748633879781534
EXOSC7	4.0	0.011748633879781534
ZNF706	14.0	-0.004918032786884963
AMDHD1	16.0	-0.004918032786884963
DPH2	12.0	-0.004918032786885074
DPH5	14.0	-0.004918032786884963
SPTSSB	15.0	-0.004918032786885074
ST3GAL2	10.0	0.011748633879781534
ZNF540	11.0	-0.004918032786885074
EIF2B4	11.0	-0.004918032786885074
UQCC2	17.0	-0.004918032786884963
NAGA	14.0	-0.004918032786884963
PER2	21.0	0.011748633879781645
PER1	17.0	-0.004918032786884963
NAGK	13.0	-0.004918032786885074
GPAM	12.0	-0.004918032786885074
CAPRIN1	1.0	0.011748633879781534
BCL3	7.0	0.011748633879781534
NIT1	14.0	-0.004918032786884963
ADA	14.0	-0.004918032786884963
PNPLA1	15.0	-0.004918032786885074
