Item ID	Item value	Change in Kuiper test statistic when item removed
GCDH	12.0	-0.011904761904761973
ARG2	14.0	-0.011904761904761973
AARS2	14.0	-0.011904761904761973
GLYATL1	14.0	-0.011904761904761973
GFPT2	2.0	0.03809523809523807
CAD	12.0	-0.011904761904761973
PYCR1	16.0	-0.011904761904761751
CTPS1	12.0	-0.011904761904761973
MTR	2.0	0.03809523809523807
MAT1A	16.0	-0.011904761904761751
ACCS	14.0	-0.011904761904761973
THNSL2	12.0	-0.011904761904761973
GLS	24.0	0.03809523809523807
HYKK	3.0	0.03809523809523807
AMDHD1	16.0	-0.011904761904761751
CTH	12.0	-0.011904761904761973
ASPG	16.0	-0.011904761904761751
KYAT1	10.0	0.03809523809523807
SCLY	15.0	-0.011904761904761973
ASPA	14.0	-0.011904761904761973
PSPH	14.0	-0.011904761904761973
