Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.004276931301791076
MUS81	13.0	-0.004276931301791076
BCAR3	2.0	0.00735097567495302
GALNT14	16.0	-0.004276931301791187
BMPR2	0.0	0.00735097567495302
PIGO	13.0	-0.004276931301791076
MRPS14	15.0	-0.004276931301791187
GALNT18	3.0	0.00735097567495302
PIGP	14.0	-0.004276931301791076
ZDHHC7	11.0	-0.004276931301791076
IRS2	20.0	0.00735097567495302
PIGV	13.0	-0.004276931301791076
TNF	11.0	-0.004276931301791076
HS2ST1	4.0	0.00735097567495302
GMPPB	13.0	-0.004276931301791076
RBM4	13.0	-0.004276931301791076
EPM2AIP1	11.0	-0.004276931301791076
RGS2	10.0	-0.004276931301791187
FBXO4	2.0	0.00735097567495302
GAL3ST4	15.0	-0.004276931301791187
HSP90AA1	17.0	0.00735097567495302
ST6GAL1	13.0	-0.004276931301791076
ALG8	14.0	-0.004276931301791076
NSUN5	13.0	-0.004276931301791076
ALG2	10.0	-0.004276931301791187
SETMAR	13.0	-0.004276931301791076
TRNAU1AP	13.0	-0.004276931301791076
ZDHHC11	4.0	0.00735097567495302
ZDHHC16	13.0	-0.004276931301791076
ZDHHC14	17.0	0.00735097567495302
NT5C3B	13.0	-0.004276931301791076
PPP1R3C	3.0	0.00735097567495302
PPP1R3E	12.0	-0.004276931301791187
RPUSD3	11.0	-0.004276931301791076
B3GNT4	9.0	0.00735097567495302
B3GNT3	5.0	0.00735097567495302
TIMELESS	15.0	-0.004276931301791187
PIGF	14.0	-0.004276931301791076
DCP2	11.0	-0.004276931301791076
CHST3	5.0	0.00735097567495302
PIF1	10.0	-0.004276931301791187
RTEL1	15.0	-0.004276931301791187
AARS2	14.0	-0.004276931301791076
FUT11	2.0	0.00735097567495302
ASMT	2.0	0.00735097567495302
SRBD1	16.0	-0.004276931301791187
PTAFR	8.0	0.00735097567495302
ZDHHC23	14.0	-0.004276931301791076
RBM4B	12.0	-0.004276931301791187
TMTC1	16.0	-0.004276931301791187
FUT2	13.0	-0.004276931301791076
PRIMPOL	12.0	-0.004276931301791187
FUT3	5.0	0.00735097567495302
EXOSC7	4.0	0.00735097567495302
FUT8	15.0	-0.004276931301791187
CHTF8	12.0	-0.004276931301791187
SLX4	12.0	-0.004276931301791187
RECQL5	14.0	-0.004276931301791076
ZNF706	14.0	-0.004276931301791076
DPH2	12.0	-0.004276931301791187
HAS3	10.0	-0.004276931301791187
ST3GAL4	1.0	0.00735097567495302
DPH5	14.0	-0.004276931301791076
CCT5	10.0	-0.004276931301791187
ST3GAL2	10.0	-0.004276931301791187
ZNF540	11.0	-0.004276931301791076
GINS2	16.0	-0.004276931301791187
EIF2B4	11.0	-0.004276931301791076
IL33	15.0	-0.004276931301791187
RRM2	11.0	-0.004276931301791076
ATAD5	0.0	0.00735097567495302
GFPT2	2.0	0.00735097567495302
KLF4	22.0	0.00735097567495302
PER2	21.0	0.00735097567495302
PER1	17.0	0.00735097567495302
POLA1	18.0	0.00735097567495302
FAM111A	16.0	-0.004276931301791187
RAD50	12.0	-0.004276931301791187
RGCC	1.0	0.00735097567495302
BCL6	22.0	0.00735097567495302
SLC6A9	5.0	0.00735097567495302
ATG16L2	13.0	-0.004276931301791076
MGAT4A	3.0	0.00735097567495302
CAPRIN1	1.0	0.00735097567495302
POLE2	1.0	0.00735097567495302
UST	16.0	-0.004276931301791187
BCL3	7.0	0.00735097567495302
