Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	13.0	-0.009230769230769265
RNASEL	13.0	-0.009230769230769265
GALT	15.0	-0.009230769230769265
OGG1	13.0	-0.009230769230769265
QPRT	15.0	-0.009230769230769265
SMG9	10.0	0.03076923076923077
NUDT3	15.0	-0.009230769230769265
NUDT4	4.0	0.03076923076923077
EDC3	13.0	-0.009230769230769265
EXOSC7	4.0	0.03076923076923077
DPYSL3	3.0	0.03076923076923077
UPP1	7.0	0.03076923076923077
NUDT13	11.0	-0.009230769230769265
CDADC1	13.0	-0.009230769230769265
RNASE6	15.0	-0.009230769230769265
SETMAR	13.0	-0.009230769230769265
SMUG1	14.0	-0.009230769230769265
NT5C3B	13.0	-0.009230769230769265
DNASE2	8.0	0.03076923076923077
DXO	12.0	-0.009230769230769265
DNASE1	11.0	-0.009230769230769265
NIT1	14.0	-0.009230769230769265
NEIL1	13.0	-0.009230769230769265
ADA	14.0	-0.009230769230769265
DCP2	11.0	-0.009230769230769265
HSPA1A	13.0	-0.009230769230769265
