Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	13.0	-0.006651017214397592
DCLRE1A	11.0	-0.006651017214397592
DCLRE1C	13.0	-0.006651017214397592
PPP1R10	12.0	-0.006651017214397592
OGG1	13.0	-0.006651017214397592
CIB1	8.0	0.007433489827855966
BRCA1	16.0	0.00743348982785591
TNF	11.0	-0.006651017214397592
CASP9	14.0	-0.006651017214397592
SPRED2	10.0	0.007433489827855966
ZCWPW1	14.0	-0.006651017214397592
ING2	2.0	0.007433489827855966
PTTG1	5.0	0.007433489827855966
FBXO4	2.0	0.007433489827855966
NEK1	15.0	-0.006651017214397592
EXO5	14.0	-0.006651017214397592
GTSE1	5.0	0.007433489827855966
IER3	9.0	0.007433489827855966
NSMCE1	15.0	-0.006651017214397592
SETMAR	13.0	-0.006651017214397592
ZDHHC16	14.0	-0.006651017214397592
RAD23B	3.0	0.007433489827855966
HIC1	13.0	-0.006651017214397592
RAD51B	21.0	0.00743348982785591
RAD51D	14.0	-0.006651017214397592
DDIT4	3.0	0.007433489827855966
CRY1	1.0	0.007433489827855966
IRF7	13.0	-0.006651017214397592
TIMELESS	15.0	-0.006651017214397592
DTL	21.0	0.00743348982785591
PIF1	10.0	0.007433489827855966
RTEL1	15.0	-0.006651017214397592
COPS7A	11.0	-0.006651017214397592
CRIP1	6.0	0.007433489827855966
NPAS2	6.0	0.007433489827855966
PRIMPOL	12.0	-0.006651017214397592
AURKA	9.0	0.007433489827855966
BRIP1	1.0	0.007433489827855966
BCLAF1	24.0	0.00743348982785591
NUAK1	14.0	-0.006651017214397592
BCL2L11	12.0	-0.006651017214397592
SLX4	12.0	-0.006651017214397592
RECQL5	14.0	-0.006651017214397592
TP53BP1	15.0	-0.006651017214397592
TAF9B	17.0	0.00743348982785591
MORC2	11.0	-0.006651017214397592
BRD4	0.0	0.007433489827855966
FANCI	2.0	0.007433489827855966
GINS2	17.0	0.00743348982785591
ATAD5	1.0	0.007433489827855966
EYA2	13.0	-0.006651017214397592
FANCL	14.0	-0.006651017214397592
INTS3	16.0	0.00743348982785591
FANCC	14.0	-0.006651017214397592
FOXN3	2.0	0.007433489827855966
APTX	14.0	-0.006651017214397592
IFFO1	12.0	-0.006651017214397592
ELL3	14.0	-0.006651017214397592
SMUG1	14.0	-0.006651017214397592
DNAJA1	12.0	-0.006651017214397592
RAD52	12.0	-0.006651017214397592
POLA1	19.0	0.00743348982785591
FAM111A	17.0	0.00743348982785591
RAD50	12.0	-0.006651017214397592
RGCC	1.0	0.007433489827855966
CXCL12	21.0	0.00743348982785591
BCL6	22.0	0.00743348982785591
UBE2T	12.0	-0.006651017214397592
POLE2	1.0	0.007433489827855966
RPA4	20.0	0.00743348982785591
BCL3	8.0	0.007433489827855966
NABP1	13.0	-0.006651017214397592
