Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	-1.0	-0.03308823529411775
EGR1	4.0	0.02941176470588225
BNIP3L	0.0	-0.03308823529411775
EGLN2	6.0	0.02941176470588225
PRKCE	-4.0	-0.05392156862745112
CAV1	11.0	0.02941176470588225
SIRT4	9.0	0.02941176470588225
AQP3	6.0	0.02941176470588225
FOXO1	-2.0	-0.03308823529411775
AQP1	16.0	0.02941176470588225
VEGFA	0.0	-0.03308823529411775
BRIP1	-3.0	-0.03308823529411775
RGCC	-3.0	-0.03308823529411775
CARD16	11.0	0.02941176470588225
CD34	19.0	0.05024509803921551
STOX1	-1.0	-0.03308823529411775
PDK1	-1.0	-0.03308823529411775
