Item ID	Item value	Change in Kuiper test statistic when item removed
LMBR1L	11.0	-0.006429548563611387
CD86	20.0	0.0053351573187415124
ORM1	10.0	0.0053351573187415124
DCLRE1C	13.0	-0.006429548563611498
CD83	12.0	-0.006429548563611387
SERPINE2	2.0	0.0053351573187415124
TFRC	7.0	0.0053351573187415124
TNFAIP6	23.0	0.0053351573187415124
ITGB3	0.0	0.0053351573187415124
IRS2	20.0	0.0053351573187415124
AP2A2	14.0	-0.006429548563611498
TNF	11.0	-0.006429548563611387
SH3RF1	1.0	0.0053351573187415124
ACTG1	16.0	0.0053351573187415124
THBD	15.0	-0.006429548563611387
PLAU	8.0	0.0053351573187415124
GPER1	1.0	0.0053351573187415124
STBD1	2.0	0.0053351573187415124
MYB	4.0	0.0053351573187415124
CTSG	20.0	0.0053351573187415124
TNFAIP8L2	13.0	-0.006429548563611498
PKNOX1	14.0	-0.006429548563611498
EPHB1	1.0	0.0053351573187415124
PGM1	6.0	0.0053351573187415124
CD33	14.0	-0.006429548563611498
PDGFRA	17.0	0.0053351573187415124
HSP90AA1	17.0	0.0053351573187415124
ARG2	14.0	-0.006429548563611498
IL4R	8.0	0.0053351573187415124
RIPK3	12.0	-0.006429548563611387
VWF	2.0	0.0053351573187415124
LMO4	11.0	-0.006429548563611387
PRKCE	0.0	0.0053351573187415124
PLA2G4A	12.0	-0.006429548563611387
SLC39A10	15.0	-0.006429548563611387
CTPS1	12.0	-0.006429548563611387
ANO6	4.0	0.0053351573187415124
ARMC8	1.0	0.0053351573187415124
ITFG2	14.0	-0.006429548563611498
RNF41	2.0	0.0053351573187415124
TGFBR2	2.0	0.0053351573187415124
TYRO3	15.0	-0.006429548563611387
DNASE1	11.0	-0.006429548563611387
PLEKHO2	10.0	0.0053351573187415124
WDFY4	15.0	-0.006429548563611387
S100A9	6.0	0.0053351573187415124
ARL8A	2.0	0.0053351573187415124
S100A7	5.0	0.0053351573187415124
PTGER4	11.0	-0.006429548563611387
HDAC5	13.0	-0.006429548563611498
TMEM63A	13.0	-0.006429548563611498
PTAFR	8.0	0.0053351573187415124
MOSPD2	14.0	-0.006429548563611498
HSPD1	13.0	-0.006429548563611498
IL1RL2	13.0	-0.006429548563611498
HSPH1	14.0	-0.006429548563611498
EFNB3	8.0	0.0053351573187415124
CLEC7A	1.0	0.0053351573187415124
RAB24	13.0	-0.006429548563611498
SLAMF8	14.0	-0.006429548563611498
SLAMF7	15.0	-0.006429548563611387
CCL2	12.0	-0.006429548563611387
TP53BP1	15.0	-0.006429548563611387
LDLR	14.0	-0.006429548563611498
EGR1	8.0	0.0053351573187415124
IL33	15.0	-0.006429548563611387
RAB4B	14.0	-0.006429548563611498
TGFB1	7.0	0.0053351573187415124
MPIG6B	14.0	-0.006429548563611498
FZD5	5.0	0.0053351573187415124
ZBTB16	19.0	0.0053351573187415124
FN1	23.0	0.0053351573187415124
PRG2	2.0	0.0053351573187415124
RAB27A	14.0	-0.006429548563611498
BST1	5.0	0.0053351573187415124
COL1A2	22.0	0.0053351573187415124
RGCC	1.0	0.0053351573187415124
NR4A3	10.0	0.0053351573187415124
TMEM98	20.0	0.0053351573187415124
BCL6	22.0	0.0053351573187415124
FES	12.0	-0.006429548563611387
IGLL1	15.0	-0.006429548563611387
BCL3	8.0	0.0053351573187415124
S100P	5.0	0.0053351573187415124
CYSTM1	2.0	0.0053351573187415124
ADA	14.0	-0.006429548563611498
