Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	0.015651015651015787
PCDHGB7	11.0	0.002664002664002796
CD83	8.0	0.002664002664002796
SERPINE2	-3.0	-0.010323010323010195
TFRC	3.0	-0.010323010323010195
PCDHGB4	11.0	0.002664002664002796
NEXMIF	-3.0	-0.010323010323010195
ITGB3	-4.0	-0.010323010323010195
PCDHGB3	9.0	0.002664002664002796
PCDHGB2	11.0	0.002664002664002796
CBLB	10.0	0.002664002664002796
TNF	7.0	-0.010323010323010195
ACTG1	12.0	0.015651015651015787
LGALS2	-1.0	-0.010323010323010195
MYB	0.0	-0.010323010323010195
CTSG	16.0	0.015651015651015787
TNFAIP8L2	9.0	0.002664002664002796
CD34	19.0	0.015651015651015787
CD33	9.0	0.002664002664002796
CDON	-3.0	-0.010323010323010195
PDGFRA	13.0	0.015651015651015787
ARG2	10.0	0.002664002664002796
IL4R	4.0	-0.010323010323010195
SYK	8.0	0.002664002664002796
ITGA3	5.0	-0.010323010323010195
PCDHGA3	11.0	0.002664002664002796
PCDHGA2	10.0	0.002664002664002796
TGFBR2	-2.0	-0.010323010323010195
CEACAM1	19.0	0.015651015651015787
PALLD	-3.0	-0.010323010323010195
IRF1	3.0	-0.010323010323010195
CDH12	14.0	0.015651015651015787
COL8A2	-1.0	-0.010323010323010195
TYRO3	11.0	0.002664002664002796
SPARCL1	18.0	0.015651015651015787
EZR	-3.0	-0.010323010323010195
S100A9	1.0	-0.010323010323010195
CDH19	19.0	0.015651015651015787
CX3CR1	8.0	0.002664002664002796
AKNA	11.0	0.002664002664002796
COL13A1	2.0	-0.010323010323010195
NOTCH4	12.0	0.015651015651015787
AMIGO2	-2.0	-0.010323010323010195
PTAFR	4.0	-0.010323010323010195
NTN1	19.0	0.015651015651015787
IGSF9	8.0	0.002664002664002796
FUT3	1.0	-0.010323010323010195
HSPD1	9.0	0.002664002664002796
IL1RL2	9.0	0.002664002664002796
HSPH1	9.0	0.002664002664002796
EFNB3	4.0	-0.010323010323010195
CLEC7A	-3.0	-0.010323010323010195
ALOX5	3.0	-0.010323010323010195
CDH23	-2.0	-0.010323010323010195
ST3GAL4	-3.0	-0.010323010323010195
CCL2	8.0	0.002664002664002796
JAM2	13.0	0.015651015651015787
MPZL2	7.0	-0.010323010323010195
CDSN	9.0	0.002664002664002796
TGFB1	3.0	-0.010323010323010195
TNFSF14	6.0	-0.010323010323010195
ZBTB16	15.0	0.015651015651015787
CAV1	11.0	0.002664002664002796
FN1	19.0	0.015651015651015787
KLF4	18.0	0.015651015651015787
VEGFA	0.0	-0.010323010323010195
CRNN	14.0	0.015651015651015787
PCDHGA12	9.0	0.002664002664002796
ITCH	-3.0	-0.010323010323010195
RGCC	-3.0	-0.010323010323010195
CXCL12	17.0	0.015651015651015787
NR4A3	6.0	-0.010323010323010195
GPAM	8.0	0.002664002664002796
BCL6	18.0	0.015651015651015787
TRPV4	1.0	-0.010323010323010195
NECTIN3	8.0	0.002664002664002796
ADA	10.0	0.002664002664002796
NECTIN1	0.0	-0.010323010323010195
