Item ID	Item value	Change in Kuiper test statistic when item removed
TDRKH	16.0	0.005538248528902723
DCLRE1A	11.0	-0.0038075458636206427
TXNL4B	9.0	4.7594323295263585E-4
UBXN2B	13.0	-0.0038075458636206427
FAM107A	22.0	0.005538248528902723
CIB1	8.0	0.005538248528902723
TNF	11.0	-0.0038075458636206427
RNF112	1.0	0.005538248528902723
RGS2	10.0	-0.0038075458636206427
PTTG1	5.0	0.005538248528902723
MYB	4.0	0.005538248528902723
CDK20	12.0	-0.0038075458636206427
FBXO4	2.0	0.005538248528902723
NEK1	14.0	-0.0038075458636206427
OIP5	14.0	-0.0038075458636206427
JUNB	9.0	4.7594323295263585E-4
GTSE1	4.0	0.005538248528902723
TMEM8B	15.0	-0.0038075458636206427
PRKCE	0.0	0.005538248528902723
SETMAR	13.0	-0.0038075458636206427
OVOL1	10.0	-0.0038075458636206427
GEM	22.0	0.005538248528902723
TLE6	9.0	4.7594323295263585E-4
EML3	12.0	-0.0038075458636206427
THAP1	12.0	-0.0038075458636206427
CDC25B	10.0	-0.0038075458636206427
TIMELESS	15.0	-0.0038075458636206427
EZR	1.0	0.005538248528902723
ARL8A	2.0	0.005538248528902723
L3MBTL1	13.0	-0.0038075458636206427
RTEL1	15.0	-0.0038075458636206427
NPR2	17.0	0.005538248528902723
MEPCE	10.0	-0.0038075458636206427
PRDM11	14.0	-0.0038075458636206427
BRIP1	1.0	0.005538248528902723
CCNB1	10.0	-0.0038075458636206427
BCL2L11	12.0	-0.0038075458636206427
CHTF8	12.0	-0.0038075458636206427
STK35	23.0	0.005538248528902723
TP53BP1	15.0	-0.0038075458636206427
FAM83D	14.0	-0.0038075458636206427
RAB11FIP3	13.0	-0.0038075458636206427
RAB11FIP4	24.0	0.005538248528902723
BANP	12.0	-0.0038075458636206427
ZBED3	2.0	0.005538248528902723
HEXIM2	13.0	-0.0038075458636206427
TGFB1	7.0	0.005538248528902723
INTS3	15.0	-0.0038075458636206427
DHCR24	16.0	0.005538248528902723
FOXN3	2.0	0.005538248528902723
IFFO1	12.0	-0.0038075458636206427
CRNN	18.0	0.005538248528902723
ZC3HC1	11.0	-0.0038075458636206427
POLA1	18.0	0.005538248528902723
RGCC	1.0	0.005538248528902723
BCL6	22.0	0.005538248528902723
FES	12.0	-0.0038075458636206427
TUBGCP5	1.0	0.005538248528902723
NABP1	13.0	-0.0038075458636206427
TUBGCP6	12.0	-0.0038075458636206427
TUBGCP3	1.0	0.005538248528902723
CALM1	4.0	0.005538248528902723
MUS81	13.0	-0.0038075458636206427
DIRAS3	1.0	0.005538248528902723
INTS13	11.0	-0.0038075458636206427
PPP1R10	12.0	-0.0038075458636206427
BRCA1	16.0	0.005538248528902723
FLCN	10.0	-0.0038075458636206427
ZCWPW1	14.0	-0.0038075458636206427
ING2	2.0	0.005538248528902723
ADAMTS1	13.0	-0.0038075458636206427
GPER1	1.0	0.005538248528902723
CNPPD1	12.0	-0.0038075458636206427
RBM14	14.0	-0.0038075458636206427
DUSP1	21.0	0.005538248528902723
PPP2R5B	12.0	-0.0038075458636206427
TUBG2	9.0	4.7594323295263585E-4
TUBG1	10.0	-0.0038075458636206427
RAD51B	21.0	0.005538248528902723
RAD51D	13.0	-0.0038075458636206427
CKS2	11.0	-0.0038075458636206427
CRY1	1.0	0.005538248528902723
KIF2C	8.0	0.005538248528902723
BIRC3	13.0	-0.0038075458636206427
TUBAL3	22.0	0.005538248528902723
CENPC	0.0	0.005538248528902723
ARNTL	4.0	0.005538248528902723
AURKA	9.0	4.7594323295263585E-4
PSMC3IP	14.0	-0.0038075458636206427
SLX4	12.0	-0.0038075458636206427
RECQL5	14.0	-0.0038075458636206427
SERTAD1	11.0	-0.0038075458636206427
CCL2	12.0	-0.0038075458636206427
BRD8	12.0	-0.0038075458636206427
STOX1	3.0	0.005538248528902723
BRD4	24.0	0.005538248528902723
CDKN2B	11.0	-0.0038075458636206427
RRM2	11.0	-0.0038075458636206427
ATAD5	0.0	0.005538248528902723
CEP152	13.0	-0.0038075458636206427
PPP2R3B	15.0	-0.0038075458636206427
KLF4	22.0	0.005538248528902723
NLE1	13.0	-0.0038075458636206427
PER2	21.0	0.005538248528902723
RAD50	12.0	-0.0038075458636206427
CENPJ	12.0	-0.0038075458636206427
TRIM35	20.0	0.005538248528902723
HSPA1A	13.0	-0.0038075458636206427
