Item ID	Item value	Change in Kuiper test statistic when item removed
TDRKH	16.0	-0.005246913580246981
MUS81	13.0	-0.005246913580246981
INTS13	11.0	-0.005246913580246981
UBXN2B	13.0	-0.005246913580246981
PPP1R10	12.0	-0.005246913580246981
FAM107A	22.0	0.007253086419752974
BRCA1	16.0	-0.005246913580246981
FLCN	10.0	-0.0010802469135803294
ZCWPW1	14.0	-0.005246913580247092
RNF112	1.0	0.00725308641975303
GJA1	4.0	0.00725308641975303
ING2	2.0	0.00725308641975303
PTTG1	5.0	0.00725308641975303
ADAMTS1	13.0	-0.005246913580246981
GPER1	1.0	0.00725308641975303
GTSE1	5.0	0.00725308641975303
ACTR3	16.0	-0.005246913580246981
RBM14	14.0	-0.005246913580247092
HSP90AA1	17.0	0.007253086419752974
DUSP1	21.0	0.007253086419752974
PRKCE	0.0	0.00725308641975303
PPP2R5B	12.0	-0.005246913580246981
UBE2E1	0.0	0.00725308641975303
SETMAR	13.0	-0.005246913580246981
TUBG2	10.0	-0.0010802469135803294
OVOL1	10.0	-0.0010802469135803294
TUBG1	11.0	-0.005246913580246981
GEM	22.0	0.007253086419752974
EML3	13.0	-0.005246913580246981
CDC25B	10.0	-0.0010802469135803294
RAD51B	21.0	0.007253086419752974
RAD51D	14.0	-0.005246913580247092
CKS2	11.0	-0.005246913580246981
TIMELESS	15.0	-0.005246913580247092
DTL	21.0	0.007253086419752974
L3MBTL1	13.0	-0.005246913580246981
RTEL1	15.0	-0.005246913580247092
ZBTB49	11.0	-0.005246913580246981
MEPCE	11.0	-0.005246913580246981
CENPC	0.0	0.00725308641975303
AURKA	9.0	0.00725308641975303
PSMC3IP	14.0	-0.005246913580247092
BRIP1	1.0	0.00725308641975303
BCL2L11	12.0	-0.005246913580246981
CHTF8	12.0	-0.005246913580246981
SLX4	12.0	-0.005246913580246981
RECQL5	14.0	-0.005246913580247092
CCL2	12.0	-0.005246913580246981
SLC38A9	14.0	-0.005246913580247092
FAM83D	14.0	-0.005246913580247092
RAB11FIP3	13.0	-0.005246913580246981
STOX1	3.0	0.00725308641975303
RAB11FIP4	24.0	0.007253086419752974
BRD4	0.0	0.00725308641975303
ZBED3	2.0	0.00725308641975303
WNT10B	15.0	-0.005246913580247092
CDKN2B	11.0	-0.005246913580246981
RRM2	11.0	-0.005246913580246981
TGFB1	7.0	0.00725308641975303
ATAD5	1.0	0.00725308641975303
CEP152	13.0	-0.005246913580246981
INTS3	16.0	-0.005246913580246981
DHCR24	16.0	-0.005246913580246981
PPP2R3B	15.0	-0.005246913580247092
FOXN3	2.0	0.00725308641975303
KLF4	23.0	0.007253086419752974
IFFO1	12.0	-0.005246913580246981
CRNN	18.0	0.007253086419752974
POLA1	19.0	0.007253086419752974
RAD50	12.0	-0.005246913580246981
RGCC	1.0	0.00725308641975303
BCL6	22.0	0.007253086419752974
FES	12.0	-0.005246913580246981
POLE2	1.0	0.00725308641975303
CENPJ	13.0	-0.005246913580246981
RPA4	20.0	0.007253086419752974
TUBGCP5	1.0	0.00725308641975303
NABP1	13.0	-0.005246913580246981
TUBGCP6	13.0	-0.005246913580246981
TUBGCP3	1.0	0.00725308641975303
CALM1	4.0	0.00725308641975303
