Item ID	Item value	Change in Kuiper test statistic when item removed
DCLRE1A	11.0	-0.00830564784053156
INTS13	11.0	-0.00830564784053156
RTKN	13.0	-0.00830564784053145
AKNA	15.0	-0.008305647840531338
CETN3	12.0	-0.00830564784053156
CIB1	8.0	0.009551495016611289
CENPC	0.0	0.01550387596899222
AURKA	9.0	0.003599114064230413
FLCN	10.0	-0.00830564784053156
ING2	2.0	0.01550387596899222
BRIP1	1.0	0.01550387596899222
CCNB1	10.0	-0.00830564784053156
RECQL5	14.0	-0.00830564784053145
PTTG1	5.0	0.01550387596899222
ZNF449	10.0	-0.00830564784053156
CDK20	12.0	-0.00830564784053156
NEK1	14.0	-0.00830564784053145
OIP5	14.0	-0.00830564784053145
FAM83D	14.0	-0.00830564784053145
RAB11FIP3	13.0	-0.00830564784053145
STOX1	3.0	0.01550387596899222
RAB11FIP4	24.0	0.015503875968992387
TP63	22.0	0.015503875968992387
SOX5	20.0	0.015503875968992387
TGFB1	7.0	0.01550387596899222
MACC1	15.0	-0.008305647840531338
PRKCE	0.0	0.01550387596899222
ZBTB16	19.0	0.015503875968992387
VEGFD	2.0	0.01550387596899222
TLE6	9.0	0.003599114064230413
EML3	12.0	-0.00830564784053156
VEGFA	4.0	0.01550387596899222
CDC25B	10.0	-0.00830564784053156
ZC3HC1	11.0	-0.00830564784053156
KLHL9	12.0	-0.00830564784053156
CDK5	14.0	-0.00830564784053145
CENPJ	12.0	-0.00830564784053156
ZFYVE19	12.0	-0.00830564784053156
CKS2	11.0	-0.00830564784053156
TIMELESS	15.0	-0.008305647840531338
KIF2C	8.0	0.009551495016611289
CALM1	4.0	0.01550387596899222
ARL8A	2.0	0.01550387596899222
