Item ID	Item value	Change in Kuiper test statistic when item removed
CHODL	17.0	0.007246376811594346
CSF1R	8.0	0.007246376811594346
BMPR2	-4.0	-0.026086956521738758
NEDD4L	11.0	0.007246376811594457
LRP4	0.0	-0.026086956521738758
CXCR4	-3.0	-0.026086956521738758
LAMC2	0.0	-0.026086956521738758
VLDLR	-1.0	-0.026086956521738758
NTN1	19.0	0.010024154589372114
IGSF9	8.0	0.007246376811594346
AURKA	5.0	-0.0038647342995166145
NTF4	10.0	0.007246376811594346
ARHGAP44	14.0	0.007246376811594346
EFNB3	4.0	-0.0038647342995166145
FLRT2	9.0	0.007246376811594457
CHL1	16.0	0.007246376811594457
SLIT3	17.0	0.007246376811594346
NPTX1	10.0	0.007246376811594346
EPHB1	-3.0	-0.026086956521738758
NEFH	16.0	0.007246376811594457
LZTS3	-4.0	-0.026086956521738758
HSP90AA1	13.0	0.007246376811594346
AUTS2	-2.0	-0.026086956521738758
BDNF	-2.0	-0.026086956521738758
FN1	19.0	0.010024154589372114
TRPV2	9.0	0.007246376811594457
SEMA4F	10.0	0.007246376811594346
SYT17	7.0	-0.0010869565217388466
VEGFA	0.0	-0.026086956521738758
DNM3	15.0	0.007246376811594346
AFG3L2	-1.0	-0.026086956521738758
KLF7	12.0	0.007246376811594457
TTC8	-3.0	-0.026086956521738758
CXCL12	17.0	0.007246376811594346
CDK5	10.0	0.007246376811594346
NRN1L	-4.0	-0.026086956521738758
PALLD	-3.0	-0.026086956521738758
CAPRIN1	-3.0	-0.026086956521738758
UST	12.0	0.007246376811594457
ID1	2.0	-0.0038647342995166145
ANOS1	11.0	0.007246376811594457
EPHA1	7.0	-0.0010869565217388466
ZNF335	8.0	0.007246376811594346
MAP3K13	0.0	-0.026086956521738758
NGEF	1.0	-0.0038647342995166145
NECTIN1	0.0	-0.026086956521738758
