Item ID	Item value	Change in Kuiper test statistic when item removed
L3MBTL1	13.0	-0.011083743842364768
DIRAS3	1.0	0.02463054187192093
HDAC5	12.0	-0.011083743842364768
KDM3A	4.0	0.02463054187192093
SATB2	16.0	8.210180623969832E-4
ZNF518A	13.0	-0.011083743842364768
BRCA1	16.0	8.210180623969832E-4
CHD1	24.0	0.02463054187192082
ING2	2.0	0.02463054187192093
MYB	4.0	0.02463054187192093
PRDM16	13.0	-0.011083743842364768
OIP5	14.0	-0.01108374384236488
EPC2	12.0	-0.011083743842364768
BRD8	12.0	-0.011083743842364768
MORC2	11.0	-0.0051313628899837815
TP63	22.0	0.02463054187192082
BRD4	24.0	0.02463054187192082
BANP	12.0	-0.011083743842364768
ATF7IP	16.0	8.210180623969832E-4
NFE2	13.0	-0.011083743842364768
EYA2	12.0	-0.011083743842364768
SETMAR	13.0	-0.011083743842364768
LRWD1	11.0	-0.0051313628899837815
PPHLN1	14.0	-0.01108374384236488
KLF2	13.0	-0.011083743842364768
KCNQ1	8.0	0.02463054187192093
LRIF1	10.0	0.02463054187192093
ZNF335	12.0	-0.011083743842364768
RCCD1	12.0	-0.011083743842364768
