Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	9.0	0.004761904761904634
DUSP1	17.0	0.05476190476190468
TUBG2	5.0	-0.02857142857142858
BRCA1	12.0	0.05476190476190468
TUBG1	6.0	-0.011904761904761973
GEM	18.0	0.05476190476190468
CENPC	-4.0	-0.04523809523809519
EML3	8.0	0.004761904761904634
PSMC3IP	10.0	0.004761904761904745
ZCWPW1	10.0	0.004761904761904745
BRIP1	-3.0	-0.04523809523809519
CCNB1	6.0	-0.011904761904761973
CHTF8	8.0	0.004761904761904634
SLX4	8.0	0.004761904761904634
RECQL5	10.0	0.004761904761904745
PTTG1	1.0	-0.04523809523809519
KIF2C	4.0	-0.036904761904761885
OIP5	10.0	0.004761904761904745
CENPN	0.0	-0.04523809523809519
FAM83D	10.0	0.004761904761904745
ARL8A	-2.0	-0.04523809523809519
