Item ID	Item value	Change in Kuiper test statistic when item removed
BMPR2	-4.0	-0.055384615384615365
PKDCC	10.0	0.02461538461538454
SATB2	12.0	0.02461538461538454
CRIP1	2.0	-0.015384615384615441
CTSK	-3.0	-0.055384615384615365
HYAL3	10.0	0.02461538461538454
HMGCS2	13.0	0.02461538461538454
PPARGC1A	-2.0	-0.055384615384615365
CD34	19.0	0.02461538461538454
TAPT1	7.0	0.019615384615384535
HES5	7.0	0.019615384615384535
SOX5	16.0	0.02461538461538454
OSR2	18.0	0.02461538461538454
EGR1	4.0	-0.015384615384615441
TGFB1	3.0	-0.015384615384615441
ZBTB16	15.0	0.02461538461538454
ARID5A	8.0	0.019615384615384535
ARID5B	8.0	0.019615384615384535
SLC39A14	11.0	0.02461538461538454
SULF2	-2.0	-0.055384615384615365
TGFBR2	-2.0	-0.055384615384615365
KLF7	12.0	0.02461538461538454
MAF	-4.0	-0.055384615384615365
TRPV4	1.0	-0.015384615384615441
MGP	16.0	0.02461538461538454
GHRL	20.0	0.02461538461538454
