Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	13.0	-0.005541346973571948
CLPB	14.0	-0.005541346973572059
LEAP2	10.0	0.009164535379369232
TNF	11.0	0.006713554987212378
AQP1	20.0	0.009164535379369176
MT2A	3.0	0.009164535379369232
PSTPIP1	15.0	-0.005541346973572059
TRIM5	15.0	-0.005541346973572059
GPER1	1.0	0.009164535379369232
CASP4	14.0	-0.005541346973572059
TRIM68	12.0	-0.005541346973571948
CASP1	17.0	0.006713554987212433
CTSG	20.0	0.009164535379369176
TNFAIP8L2	13.0	-0.005541346973571948
ACTR3	16.0	0.004262574595055579
BNIP3L	4.0	0.009164535379369232
RBM14	14.0	-0.005541346973572059
HSP90AA1	17.0	0.006713554987212433
ARG2	14.0	-0.005541346973572059
IL4R	8.0	0.009164535379369232
RIPK3	12.0	-0.005541346973571948
DCD	21.0	0.009164535379369176
ARID5A	12.0	-0.005541346973571948
RNASE6	15.0	-0.005541346973572059
ZDHHC11	4.0	0.009164535379369232
MPEG1	13.0	-0.005541346973571948
DDIT4	3.0	0.009164535379369232
IRF7	13.0	-0.005541346973571948
TYRO3	15.0	-0.005541346973572059
TLR5	14.0	-0.005541346973572059
S100A9	6.0	0.009164535379369232
NAIP	13.0	-0.005541346973571948
BIRC3	13.0	-0.005541346973571948
S100A7	5.0	0.009164535379369232
CSF1R	13.0	-0.005541346973571948
DEFB103B	17.0	0.006713554987212433
RNASEL	14.0	-0.005541346973572059
CFH	22.0	0.009164535379369176
C1S	1.0	0.009164535379369232
C1R	23.0	0.009164535379369176
PTAFR	8.0	0.009164535379369232
MST1R	11.0	0.006713554987212378
HPX	24.0	0.009164535379369176
C5	16.0	0.004262574595055579
IL1RL2	13.0	-0.005541346973571948
LCE3B	13.0	-0.005541346973571948
CLEC7A	1.0	0.009164535379369232
RNASE7	14.0	-0.005541346973572059
SLAMF8	14.0	-0.005541346973572059
SLAMF7	15.0	-0.005541346973572059
CCL2	12.0	-0.005541346973571948
A2M	22.0	0.009164535379369176
EGR1	8.0	0.009164535379369232
IL33	15.0	-0.005541346973572059
IL10RB	11.0	0.006713554987212378
RARRES2	23.0	0.009164535379369176
PRG2	2.0	0.009164535379369232
RAB27A	14.0	-0.005541346973572059
ITCH	2.0	0.009164535379369232
RAET1E	14.0	-0.005541346973572059
FES	12.0	-0.005541346973571948
IGLL1	15.0	-0.005541346973572059
CD207	14.0	-0.005541346973572059
BCL3	8.0	0.009164535379369232
TRIM35	21.0	0.009164535379369176
ZYX	15.0	-0.005541346973572059
SLC26A6	14.0	-0.005541346973572059
CCL26	16.0	0.004262574595055579
C1QC	2.0	0.009164535379369232
