Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	9.0	0.005952380952380931
SERPINE2	-3.0	-0.08699633699633696
TAS2R10	19.0	0.02197802197802201
CXCR4	-3.0	-0.08699633699633696
CACNA2D4	14.0	0.02197802197802201
TNF	7.0	0.005952380952381042
AZGP1	9.0	0.005952380952380931
CXCL12	17.0	0.02197802197802201
STRC	2.0	-0.010073260073260037
PRPH2	-3.0	-0.08699633699633696
KCNQ1	4.0	-0.010073260073260037
CHRNA10	8.0	0.005952380952381042
CCDC66	15.0	0.02197802197802201
EPHB1	-3.0	-0.08699633699633696
