Item ID	Item value	Change in Kuiper test statistic when item removed
TDRKH	12.0	-0.001976284584980059
CX3CR1	8.0	-0.001976284584980059
SNAPIN	8.0	-0.001976284584980059
FZD5	0.0	-0.028491436100131662
NPR2	13.0	-0.001976284584980059
ZBTB16	15.0	0.043478260869565466
RFX3	19.0	0.043478260869565466
SNX10	-3.0	-0.04743083003952542
TFCP2L1	19.0	0.043478260869565466
TRPC4AP	0.0	-0.028491436100131662
KLF2	9.0	-0.001976284584979948
AURKA	5.0	-0.024703557312252822
VEGFA	0.0	-0.028491436100131662
WDR77	9.0	-0.001976284584979948
BAIAP3	2.0	-0.028491436100131662
CDC25B	6.0	-0.020915678524374037
CABYR	13.0	-0.001976284584980059
CLEC7A	-3.0	-0.04743083003952542
MAP3K13	0.0	-0.028491436100131662
RECK	11.0	-0.001976284584979948
CFTR	12.0	-0.001976284584980059
HES5	7.0	-0.017127799736495197
SLC26A6	9.0	-0.001976284584979948
