Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	13.0	-0.006968641114982466
PIF1	10.0	0.01742160278745658
DCLRE1A	11.0	0.010307781649245229
RTEL1	15.0	-0.006968641114982355
DCLRE1C	13.0	-0.006968641114982466
OGG1	13.0	-0.006968641114982466
CIB1	8.0	0.01742160278745658
COPS7A	11.0	0.010307781649245229
BRCA1	16.0	0.0031939605110337665
NPAS2	6.0	0.01742160278745658
PRIMPOL	12.0	-0.006968641114982466
ZCWPW1	14.0	-0.006968641114982466
BRIP1	1.0	0.01742160278745658
SLX4	12.0	-0.006968641114982466
RECQL5	14.0	-0.006968641114982466
PTTG1	5.0	0.01742160278745658
EXO5	14.0	-0.006968641114982466
TP53BP1	15.0	-0.006968641114982355
FANCI	2.0	0.01742160278745658
GINS2	17.0	0.010307781649245229
EYA2	13.0	-0.006968641114982466
FANCL	14.0	-0.006968641114982466
INTS3	16.0	0.0031939605110337665
NSMCE1	15.0	-0.006968641114982355
SETMAR	13.0	-0.006968641114982466
FANCC	14.0	-0.006968641114982466
APTX	14.0	-0.006968641114982466
RAD23B	3.0	0.01742160278745658
IFFO1	12.0	-0.006968641114982466
SMUG1	14.0	-0.006968641114982466
RAD51B	21.0	0.01742160278745658
RAD52	12.0	-0.006968641114982466
POLA1	19.0	0.01742160278745658
FAM111A	17.0	0.010307781649245229
RAD50	12.0	-0.006968641114982466
RAD51D	14.0	-0.006968641114982466
UBE2T	12.0	-0.006968641114982466
POLE2	1.0	0.01742160278745658
RPA4	20.0	0.01742160278745658
TIMELESS	15.0	-0.006968641114982355
NABP1	13.0	-0.006968641114982466
DTL	21.0	0.01742160278745658
