Item ID	Item value	Change in Kuiper test statistic when item removed
TBX1	-1.0	-0.018421052631579338
OSR2	18.0	0.04517543859649076
FZD2	-3.0	-0.018421052631579338
NTN1	19.0	0.08684210526315739
TTC8	-3.0	-0.018421052631579338
GJB2	0.0	-0.018421052631579338
BCL2L11	8.0	-0.018421052631579338
LRTOMT	8.0	-0.018421052631579338
MAF	-4.0	-0.018421052631579338
DCANP1	6.0	-0.018421052631579338
STRC	2.0	-0.018421052631579338
MYO15A	1.0	-0.018421052631579338
KCNQ1	4.0	-0.018421052631579338
ESRP1	19.0	0.08684210526315739
CDH23	-2.0	-0.018421052631579338
ATG4B	9.0	0.023245614035087403
CHRNA10	8.0	-0.018421052631579338
ROR1	16.0	0.034210526315789025
STOX1	-1.0	-0.018421052631579338
HES5	7.0	-0.018421052631579338
