Item ID	Item value	Change in Kuiper test statistic when item removed
IPO13	12.0	-0.006115317414094379
TFRC	7.0	0.003785672684915531
CIB1	8.0	0.003785672684915531
ZDHHC7	11.0	0.0037856726849155864
IRS2	20.0	0.003785672684915531
CBLB	14.0	-0.006115317414094379
TNF	11.0	0.0037856726849155864
SCAMP5	9.0	0.003785672684915531
ARHGAP44	18.0	0.003785672684915531
LAMP3	6.0	0.003785672684915531
VPS39	6.0	0.003785672684915531
VPS18	20.0	0.003785672684915531
BNIP3L	4.0	0.003785672684915531
SLC15A1	2.0	0.003785672684915531
NUP210	12.0	-0.006115317414094379
PRKCE	0.0	0.003785672684915531
RFX3	23.0	0.003785672684915531
ACSL3	12.0	-0.006115317414094379
BCS1L	13.0	-0.006115317414094379
SYTL3	10.0	0.003785672684915531
AZGP1	13.0	-0.006115317414094379
PREPL	15.0	0.003785672684915531
EZR	1.0	0.003785672684915531
PHLDB2	10.0	0.003785672684915531
ARL8A	2.0	0.003785672684915531
PPID	12.0	-0.006115317414094379
STX1A	12.0	-0.006115317414094379
ABCG1	4.0	0.003785672684915531
RTN2	14.0	-0.006115317414094379
PKDCC	14.0	-0.006115317414094379
LMAN2L	13.0	-0.006115317414094379
ARL17B	16.0	0.003785672684915531
HCAR2	11.0	0.0037856726849155864
KCNN4	2.0	0.003785672684915531
RAB11FIP3	13.0	-0.006115317414094379
TCAF2	2.0	0.003785672684915531
SNAPIN	12.0	-0.006115317414094379
RAB4B	13.0	-0.006115317414094379
TGFB1	7.0	0.003785672684915531
HSPA5	1.0	0.003785672684915531
FZD5	4.0	0.003785672684915531
CAV1	15.0	0.003785672684915531
EXOC6B	19.0	0.003785672684915531
RAB27A	14.0	-0.006115317414094379
AP4B1	14.0	-0.006115317414094379
HOOK2	13.0	-0.006115317414094379
ATG16L2	13.0	-0.006115317414094379
BCL3	7.0	0.003785672684915531
CCDC22	12.0	-0.006115317414094379
PKIG	3.0	0.003785672684915531
SPRN	1.0	0.003785672684915531
RTP4	13.0	-0.006115317414094379
MYOM1	17.0	0.003785672684915531
PPP1R10	12.0	-0.006115317414094379
SNX10	1.0	0.003785672684915531
VLDLR	3.0	0.003785672684915531
AP2A2	14.0	-0.006115317414094379
HK2	3.0	0.003785672684915531
RPGR	1.0	0.003785672684915531
AP4M1	12.0	-0.006115317414094379
C1QTNF3	20.0	0.003785672684915531
GPER1	1.0	0.003785672684915531
BBS7	20.0	0.003785672684915531
CD36	21.0	0.003785672684915531
CD33	13.0	-0.006115317414094379
HSP90AA1	17.0	0.003785672684915531
DESI1	15.0	0.003785672684915531
SYK	12.0	-0.006115317414094379
ZDHHC11	4.0	0.003785672684915531
SORCS2	1.0	0.003785672684915531
ZDHHC14	17.0	0.003785672684915531
GORASP2	2.0	0.003785672684915531
C1QTNF12	2.0	0.003785672684915531
PEX6	14.0	-0.006115317414094379
ATG4B	13.0	-0.006115317414094379
SEC22C	6.0	0.003785672684915531
GOSR2	12.0	-0.006115317414094379
ZDHHC23	14.0	-0.006115317414094379
HMGCR	14.0	-0.006115317414094379
HSPD1	13.0	-0.006115317414094379
ARNTL	4.0	0.003785672684915531
ARFRP1	12.0	-0.006115317414094379
NEURL1B	18.0	0.003785672684915531
ABLIM3	19.0	0.003785672684915531
RAB24	13.0	-0.006115317414094379
APBB3	11.0	0.0037856726849155864
CCT5	10.0	0.003785672684915531
TRMT10B	12.0	-0.006115317414094379
RPH3AL	14.0	-0.006115317414094379
PLEKHA1	3.0	0.003785672684915531
CYP51A1	18.0	0.003785672684915531
COLQ	1.0	0.003785672684915531
BAIAP3	6.0	0.003785672684915531
DNAJA1	12.0	-0.006115317414094379
PER2	21.0	0.003785672684915531
KLF7	16.0	0.003785672684915531
TTC8	1.0	0.003785672684915531
TMCO6	12.0	-0.006115317414094379
RAB12	1.0	0.003785672684915531
CENPJ	12.0	-0.006115317414094379
GHRL	24.0	0.003785672684915531
NECTIN3	12.0	-0.006115317414094379
