Item ID	Item value	Change in Kuiper test statistic when item removed
BMPR2	-4.0	-0.010443037974683544
SERPINE2	-3.0	-0.010443037974683544
TFRC	3.0	0.0022151898734177333
TNFAIP6	18.0	0.014873417721519067
CPQ	19.0	0.014873417721519067
WWC1	12.0	0.0022151898734178443
MT1M	-3.0	-0.010443037974683544
FAM107A	18.0	0.014873417721519067
TNC	-2.0	-0.010443037974683544
CIB1	4.0	0.0022151898734177333
ADM	-2.0	-0.010443037974683544
TFCP2L1	19.0	0.014873417721519067
FLCN	6.0	0.0022151898734178443
ING2	-2.0	-0.010443037974683544
MT2A	-1.0	-0.010443037974683544
RGS2	6.0	0.0022151898734178443
SALL4	-1.0	-0.010443037974683544
BDKRB1	5.0	0.0022151898734177333
PHLDA2	5.0	0.0022151898734177333
TMEM8B	11.0	0.0022151898734177333
GAMT	7.0	0.0022151898734177333
HSP90AA1	13.0	0.0022151898734177333
ARID5B	8.0	0.0022151898734178443
PRLR	1.0	0.0022151898734177333
DUSP6	5.0	0.0022151898734177333
TGFBR2	-2.0	-0.010443037974683544
RAD51B	17.0	0.0022151898734178443
AFG3L2	-1.0	-0.010443037974683544
AR	10.0	0.0022151898734178443
CEACAM1	19.0	0.014873417721519067
NRN1L	-4.0	-0.010443037974683544
MYL2	8.0	0.0022151898734178443
MT1F	0.0	-0.006751054852320637
PLCB1	18.0	0.014873417721519067
ZFPM2	16.0	0.0022151898734178443
MT1B	-2.0	-0.010443037974683544
EZR	-3.0	-0.010443037974683544
S100A9	1.0	0.0022151898734177333
MT1E	-4.0	-0.010443037974683544
PKDCC	10.0	0.0022151898734178443
NEDD4L	11.0	0.0022151898734177333
LRP4	0.0	-0.006751054852320637
CXCR4	-3.0	-0.010443037974683544
ADRB2	12.0	0.0022151898734178443
PRDM11	10.0	0.0022151898734178443
NTN1	19.0	0.014873417721519067
FBLN5	18.0	0.014873417721519067
AURKA	5.0	0.0022151898734177333
SOCS2	13.0	0.0022151898734177333
RAI1	-2.0	-0.010443037974683544
SOCS3	4.0	0.0022151898734177333
BCL2L11	8.0	0.0022151898734178443
ERBB4	19.0	0.014873417721519067
IGFBP7	18.0	0.014873417721519067
SLIT3	17.0	0.0022151898734178443
BRD8	8.0	0.0022151898734178443
TAF9B	12.0	0.0022151898734178443
EGLN2	6.0	0.0022151898734178443
TGFB1	3.0	0.0022151898734177333
AUTS2	-2.0	-0.010443037974683544
PLEKHA1	-1.0	-0.010443037974683544
CAV3	15.0	0.0022151898734178443
BDNF	-2.0	-0.010443037974683544
FN1	19.0	0.014873417721519067
TRPV2	9.0	0.0022151898734178443
SEMA4F	10.0	0.0022151898734178443
KLF2	9.0	0.0022151898734178443
COLQ	-3.0	-0.010443037974683544
SYT17	7.0	0.0022151898734177333
VEGFA	0.0	-0.006751054852320637
TTC8	-3.0	-0.010443037974683544
ITCH	-3.0	-0.010443037974683544
CXCL12	17.0	0.0022151898734178443
CDK5	10.0	0.0022151898734178443
GPAM	8.0	0.0022151898734178443
BCL6	18.0	0.014873417721519067
KIF26A	-2.0	-0.010443037974683544
GHRL	20.0	0.014873417721519067
MAP3K13	0.0	-0.006751054852320637
HSPA1A	9.0	0.0022151898734178443
