Item ID	Item value	Change in Kuiper test statistic when item removed
SLC24A1	10.0	0.0016666666666667052
SLC27A1	11.0	0.0016666666666668162
SLC43A1	8.0	0.0016666666666668162
SLC2A1	-2.0	-0.039999999999999813
ATP1A2	19.0	0.043333333333333446
IRS2	16.0	0.043333333333333446
TNF	7.0	0.0016666666666668162
RGS2	6.0	0.0016666666666668162
LRRC8C	-4.0	-0.039999999999999813
CD36	17.0	0.043333333333333446
KCNJ2	5.0	0.0016666666666668162
SLC15A1	-2.0	-0.039999999999999813
KCNJ13	10.0	0.0016666666666667052
SLC6A14	4.0	0.0016666666666668162
KCNJ14	-2.0	-0.039999999999999813
TRPV2	9.0	0.0016666666666667052
SLC39A10	11.0	0.0016666666666668162
SLC39A14	11.0	0.0016666666666668162
PER2	17.0	0.043333333333333446
SLC5A6	9.0	0.0016666666666667052
TRPV6	7.0	0.0016666666666668162
SLC6A9	1.0	-0.039999999999999813
KCNQ1	4.0	0.0016666666666668162
TRPV4	1.0	-0.039999999999999813
SLC9A9	14.0	0.043333333333333446
