Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	13.0	-0.009411764705882342
IPO13	12.0	-0.009411764705882342
PPP1R10	12.0	-0.009411764705882342
CIB1	8.0	0.01058823529411762
ZDHHC7	11.0	0.01058823529411762
AP2A2	14.0	-0.009411764705882342
TRAM2	1.0	0.01058823529411762
RPGR	2.0	0.01058823529411762
AP4M1	12.0	-0.009411764705882342
ARHGAP44	19.0	0.010588235294117676
GTSE1	5.0	0.010588235294117676
VPS39	6.0	0.01058823529411762
VPS18	20.0	0.010588235294117676
BNIP3L	4.0	0.010588235294117676
HSP90AA1	17.0	0.010588235294117676
NUP210	12.0	-0.009411764705882342
DESI1	16.0	-0.006078431372549042
ECH1	8.0	0.01058823529411762
MYRIP	24.0	0.010588235294117676
ZDHHC11	4.0	0.010588235294117676
BCS1L	13.0	-0.009411764705882342
SORCS2	1.0	0.01058823529411762
ZDHHC14	18.0	0.010588235294117676
SYTL3	10.0	0.010588235294117676
TBC1D1	16.0	-0.006078431372549042
ARL4A	11.0	0.01058823529411762
PEX6	14.0	-0.009411764705882342
SRSF7	14.0	-0.009411764705882342
STX1A	12.0	-0.009411764705882342
PAOX	14.0	-0.009411764705882342
RTN2	15.0	-0.006078431372549042
GOSR2	12.0	-0.009411764705882342
ZDHHC23	14.0	-0.009411764705882342
HSPD1	13.0	-0.009411764705882342
ARL17B	16.0	-0.006078431372549042
ARFRP1	12.0	-0.009411764705882342
BCL2L11	12.0	-0.009411764705882342
ABLIM3	19.0	0.010588235294117676
RAB24	13.0	-0.009411764705882342
TCAF2	2.0	0.01058823529411762
RPH3AL	14.0	-0.009411764705882342
TGFB1	7.0	0.01058823529411762
HSPA5	2.0	0.01058823529411762
FZD5	5.0	0.010588235294117676
EPHX2	18.0	0.010588235294117676
RAB27A	14.0	-0.009411764705882342
AP4B1	14.0	-0.009411764705882342
TBCK	16.0	-0.006078431372549042
TMCO6	13.0	-0.009411764705882342
CLUAP1	14.0	-0.009411764705882342
SPRN	1.0	0.01058823529411762
