Item ID	Item value	Change in Kuiper test statistic when item removed
CX3CR1	8.0	-8.403361344538895E-4
TFRC	3.0	-0.020448179271708777
C1S	-4.0	-0.015546218487395014
C1R	19.0	0.02857142857142847
PTAFR	4.0	-0.020448179271708777
TNF	7.0	-0.003291316526610688
CD1A	9.0	-8.403361344538895E-4
HSPD1	9.0	-8.403361344538895E-4
HPX	20.0	0.02857142857142847
C5	11.0	-8.403361344538895E-4
CLEC7A	-3.0	-0.015546218487395014
SLAMF7	11.0	-8.403361344538895E-4
CTSG	16.0	0.02857142857142847
TP53BP1	11.0	-8.403361344538895E-4
IL4R	4.0	-0.020448179271708777
TGFB1	3.0	-0.020448179271708777
RIPK3	8.0	-8.403361344538895E-4
SYK	8.0	-8.403361344538895E-4
FZD5	0.0	-0.015546218487395014
ATAD5	-4.0	-0.015546218487395014
KLRC4	19.0	0.02857142857142847
ARID5A	8.0	-8.403361344538895E-4
RAB27A	10.0	-8.403361344538895E-4
BTN3A2	9.0	-8.403361344538895E-4
AZGP1	9.0	-8.403361344538895E-4
CEACAM1	19.0	0.02857142857142847
RAET1E	10.0	-8.403361344538895E-4
NR4A3	6.0	-0.020448179271708777
BCL6	18.0	0.02857142857142847
FES	8.0	-8.403361344538895E-4
IGLL1	11.0	-8.403361344538895E-4
BCL3	3.0	-0.020448179271708777
IRF7	8.0	-8.403361344538895E-4
DNASE1	7.0	-0.003291316526610688
C1QC	-2.0	-0.015546218487395014
