Item ID	Item value	Change in Kuiper test statistic when item removed
LMBR1L	11.0	0.009090909090909316
CD86	20.0	0.009090909090909316
DCLRE1C	13.0	-0.009090909090908872
CD83	12.0	-0.009090909090908872
TFRC	7.0	0.00909090909090926
IRS2	20.0	0.009090909090909316
CBLB	14.0	-0.009090909090908872
SH3RF1	0.0	0.009090909090909316
MYB	4.0	0.009090909090909316
CTSG	20.0	0.009090909090909316
TNFAIP8L2	13.0	-0.009090909090908872
PKNOX1	13.0	-0.009090909090908872
EPHB1	1.0	0.009090909090909316
ARG2	14.0	-0.009090909090908872
IL4R	8.0	0.009090909090909316
RIPK3	12.0	-0.009090909090908872
BTN3A1	16.0	0.009090909090909316
SYK	12.0	-0.009090909090908872
SLC39A10	15.0	-0.009090909090908872
CTPS1	12.0	-0.009090909090908872
ITFG2	14.0	-0.009090909090908872
RNF41	1.0	0.009090909090909316
TGFBR2	2.0	0.009090909090909316
CEACAM1	23.0	0.009090909090909316
IRF1	7.0	0.00909090909090926
TYRO3	15.0	-0.009090909090908872
WDFY4	15.0	-0.009090909090908872
HDAC5	12.0	-0.009090909090908872
HSPD1	13.0	-0.009090909090908872
IL1RL2	13.0	-0.009090909090908872
HSPH1	13.0	-0.009090909090908872
EFNB3	8.0	0.009090909090909316
NFIL3	1.0	0.009090909090909316
CLEC7A	1.0	0.009090909090909316
SLAMF8	14.0	-0.009090909090908872
SLAMF7	15.0	-0.009090909090908872
CCL2	12.0	-0.009090909090908872
TP53BP1	15.0	-0.009090909090908872
EGR1	8.0	0.009090909090909316
TGFB1	7.0	0.00909090909090926
FZD5	4.0	0.009090909090909316
ATAD5	0.0	0.009090909090909316
TNFSF14	10.0	0.009090909090909316
ZBTB16	19.0	0.009090909090909316
CAV1	15.0	-0.009090909090908872
RAB27A	14.0	-0.009090909090908872
BST1	5.0	0.009090909090909316
ITCH	1.0	0.009090909090909316
TMEM98	19.0	0.009090909090909316
GPAM	12.0	-0.009090909090908872
BCL6	22.0	0.009090909090909316
IGLL1	15.0	-0.009090909090908872
IL2RB	13.0	-0.009090909090908872
BCL3	7.0	0.00909090909090926
ZNF335	12.0	-0.009090909090908872
ADA	14.0	-0.009090909090908872
