Item ID	Item value	Change in Kuiper test statistic when item removed
BNIP3L	0.0	2.220446049250313E-16
SNAPIN	8.0	2.220446049250313E-16
UBXN2B	9.0	2.220446049250313E-16
VPS33A	-2.0	2.220446049250313E-16
MTMR8	9.0	2.220446049250313E-16
ADRB2	12.0	0.04166666666666696
RNF41	-3.0	-0.04166666666666641
RAB43	-2.0	2.220446049250313E-16
AP4M1	8.0	2.220446049250313E-16
CDK5	10.0	0.013888888888889173
SESN3	6.0	2.220446049250313E-16
ATG16L2	9.0	2.220446049250313E-16
STBD1	-2.0	2.220446049250313E-16
ATG4B	9.0	2.220446049250313E-16
PGAM5	7.0	2.220446049250313E-16
CALM1	0.0	2.220446049250313E-16
SLC25A4	-1.0	2.220446049250313E-16
ATP6V1E2	11.0	0.027777777777778123
VPS39	2.0	2.220446049250313E-16
