Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	13.0	-0.006722689075630228
DET1	12.0	-0.006722689075630228
UBXN2B	13.0	-0.006722689075630228
SERPINE2	1.0	0.00518207282913169
USP31	2.0	0.00518207282913169
FASTKD1	13.0	-0.006722689075630228
PCSK9	21.0	0.005182072829131634
SMG9	10.0	0.005182072829131634
CBLB	14.0	-0.006722689075630228
TNF	11.0	-7.703081232492415E-4
SH3RF1	0.0	0.00518207282913169
EDC3	13.0	-0.006722689075630228
CTSK	1.0	0.00518207282913169
LAMP3	6.0	0.00518207282913169
STBD1	2.0	0.00518207282913169
HYAL3	14.0	-0.006722689075630228
FBXO4	2.0	0.00518207282913169
UBXN8	15.0	-0.006722689075630339
TIMP3	18.0	0.005182072829131634
BBS7	20.0	0.005182072829131634
RNF150	19.0	0.005182072829131634
PLEKHN1	15.0	-0.006722689075630339
ADAMTS9	18.0	0.005182072829131634
UBL7	13.0	-0.006722689075630228
OVGP1	2.0	0.00518207282913169
BNIP3L	4.0	0.005182072829131634
HSP90AA1	17.0	0.005182072829131634
DESI1	15.0	-0.006722689075630339
RNASE6	15.0	-0.006722689075630339
UBE2E1	24.0	0.005182072829131634
PRSS16	13.0	-0.006722689075630228
SETMAR	13.0	-0.006722689075630228
IRAK3	24.0	0.005182072829131634
ARMC8	0.0	0.00518207282913169
TENT5B	16.0	0.005182072829131634
TRPC4AP	4.0	0.005182072829131634
RAD23B	2.0	0.00518207282913169
CBFA2T3	14.0	-0.006722689075630228
RNF41	1.0	0.00518207282913169
NT5C3B	13.0	-0.006722689075630228
RNF126	24.0	0.005182072829131634
CEACAM1	23.0	0.005182072829131634
TRAF4	10.0	0.005182072829131634
CHI3L2	4.0	0.005182072829131634
DNASE2	8.0	0.00518207282913169
DXO	12.0	-0.006722689075630228
DNASE1	11.0	-7.703081232492415E-4
EZR	1.0	0.00518207282913169
DCP2	11.0	-7.703081232492415E-4
RNASEL	13.0	-0.006722689075630228
ECSCR	0.0	0.00518207282913169
NEDD4L	15.0	-0.006722689075630339
OMA1	14.0	-0.006722689075630228
HMGCR	14.0	-0.006722689075630228
USP18	12.0	-0.006722689075630228
FBXO44	12.0	-0.006722689075630228
FOXO1	2.0	0.00518207282913169
ARNTL	4.0	0.005182072829131634
RNFT1	13.0	-0.006722689075630228
AURKA	9.0	0.00518207282913169
NKD2	15.0	-0.006722689075630339
EXOSC7	4.0	0.005182072829131634
TBL1X	16.0	0.005182072829131634
LRIG2	2.0	0.00518207282913169
FAM83D	14.0	-0.006722689075630228
LDLR	14.0	-0.006722689075630228
BANP	12.0	-0.006722689075630228
EGLN2	10.0	0.005182072829131634
SDF2L1	16.0	0.005182072829131634
TGFB1	7.0	0.00518207282913169
HSPA5	1.0	0.00518207282913169
CAV3	19.0	0.005182072829131634
RHBDD2	3.0	0.005182072829131634
CAV1	15.0	-0.006722689075630339
CYP51A1	18.0	0.005182072829131634
BFAR	11.0	-7.703081232492415E-4
FBXL14	24.0	0.005182072829131634
DNAJC18	12.0	-0.006722689075630228
ITCH	1.0	0.00518207282913169
CDK5	14.0	-0.006722689075630228
RAB12	1.0	0.00518207282913169
ASB9	18.0	0.005182072829131634
CCDC22	12.0	-0.006722689075630228
ASB2	3.0	0.005182072829131634
HSPA1A	13.0	-0.006722689075630228
