Item ID	Item value	Change in Kuiper test statistic when item removed
TDRKH	16.0	-6.410256410258608E-4
KDM3A	4.0	0.018589743589743635
NNMT	21.0	0.018589743589743524
ASMT	2.0	0.018589743589743635
MEPCE	10.0	0.018589743589743635
TRMT2A	11.0	-0.007051282051282026
MTR	2.0	0.018589743589743635
BRCA1	16.0	-6.410256410258608E-4
ECE2	12.0	-0.007051282051282026
METTL21A	12.0	-0.007051282051282026
PRDM11	14.0	-0.007051282051282026
PRDM10	17.0	0.018589743589743524
MRM1	12.0	-0.007051282051282026
HENMT1	15.0	-6.410256410258608E-4
CSKMT	12.0	-0.007051282051282026
MYB	4.0	0.018589743589743635
PRDM16	13.0	-0.007051282051282026
DPH5	14.0	-0.007051282051282026
SMYD4	11.0	-0.007051282051282026
TRMT1L	13.0	-0.007051282051282026
BRD4	24.0	0.018589743589743524
GAMT	11.0	-0.007051282051282026
ATF7IP	16.0	-6.410256410258608E-4
TRMT10A	12.0	-0.007051282051282026
NSUN5P1	13.0	-0.007051282051282026
TRMT10B	12.0	-0.007051282051282026
AUTS2	2.0	0.018589743589743635
NFYA	12.0	-0.007051282051282026
METTL1	13.0	-0.007051282051282026
NFYB	12.0	-0.007051282051282026
NSUN5	13.0	-0.007051282051282026
BCDIN3D	11.0	-0.007051282051282026
SETMAR	13.0	-0.007051282051282026
NSUN7	2.0	0.018589743589743635
COQ5	13.0	-0.007051282051282026
LRTOMT	12.0	-0.007051282051282026
NDUFAF5	0.0	0.018589743589743635
TRMT13	12.0	-0.007051282051282026
ZNF335	12.0	-0.007051282051282026
EEF1AKMT1	14.0	-0.007051282051282026
